
url,title,text
http://www.abb.com/cawp/seitp202/658895e523a4342bc1257e42003610b3.aspx,ABB Statement on Climate Change and Global Warming,"2015-05-11 - <b>ABB</b> has today issued its <b>climate change</b> and global warming <br>
statement (link). The evidence of <b>ABB&#39;s</b> contribution to a &#39;better world&#39; is often best <br>
illustrated through the huge difference our products, systems and services make <br>
in enabling our customers to lower their environmental impact. Our core offerings <br>
that&nbsp;..."
http://new.abb.com/sustainability/environment/energy-and-climate,Energy and climate | ABB,"The link between energy efficiency, renewable energy and mitigating <b>climate</b> <br>
<b>change</b> is clear. In terms of <b>ABB&#39;s</b> own operations, this means taking action to <br>
reduce energy consumption and greenhouse gas emissions and to pursue low <br>
carbon forms of energy at our plants, offices and along the value chain. As part of <br>
our&nbsp;..."
https://www.cnbc.com/video/2017/09/18/us-climate-change-fight-abb-chairman-peter-voser.html,Confident that the US will get back in climate change fight: ABB ...,"Confident that the US will get back in <b>climate change</b> fight: <b>ABB</b> chairman. 1:00 <br>
AM ET Mon, 18 Sept 2017. <b>ABB</b> Chairman Peter Voser says that U.S. Secretary <br>
of State Rex Tillerson is a &quot;long term thinker.&quot; Watch CNBC Live TV&nbsp;..."
http://new.abb.com/sustainability/environment/abb-statement-on-climate-change-and-global-warming,ABB statement on climate change and global warming,"<b>ABB</b> supports the Paris Agreement, which came into force in November 2016, <br>
and considers it a critical opportunity to limit global warming and avert potential <br>
devastating consequences of <b>climate change</b>. The Paris Agreement commits all <br>
parties to undertake nationally determined efforts to reduce greenhouse gas (<br>
GHG)&nbsp;..."
https://www.abb-conversations.com/2017/06/prepared-for-the-challenges-of-climate-change/,Prepared for the challenges of climate change - ABB Conversations,"... Elenia Oy, Finland&#39;s second-largest electricity distribution system operator (DSO), <br>
saw the benefits of grid automation early on. <b>ABB&#39;s</b> pioneering solutions are <br>
playing a significant role in a multi-billion-euro investment boom, as Finnish <br>
DSOs rebuild and improve their ..."
url,title,text
http://www.abb.com/cawp/seitp202/658895e523a4342bc1257e42003610b3.aspx,ABB Statement on Climate Change and Global Warming,"2015-05-11 - <b>ABB</b> has today issued its <b>climate change</b> and global warming <br>
statement (link). The evidence of <b>ABB&#39;s</b> contribution to a &#39;better world&#39; is often best <br>
illustrated through the huge difference our products, systems and services make <br>
in enabling our customers to lower their environmental impact. Our core offerings <br>
that&nbsp;..."
http://new.abb.com/sustainability/environment/energy-and-climate,Energy and climate | ABB,"The link between energy efficiency, renewable energy and mitigating <b>climate</b> <br>
<b>change</b> is clear. In terms of <b>ABB&#39;s</b> own operations, this means taking action to <br>
reduce energy consumption and greenhouse gas emissions and to pursue low <br>
carbon forms of energy at our plants, offices and along the value chain. As part of <br>
our&nbsp;..."
https://www.cnbc.com/video/2017/09/18/us-climate-change-fight-abb-chairman-peter-voser.html,Confident that the US will get back in climate change fight: ABB ...,"Confident that the US will get back in <b>climate change</b> fight: <b>ABB</b> chairman. 1:00 <br>
AM ET Mon, 18 Sept 2017. <b>ABB</b> Chairman Peter Voser says that U.S. Secretary <br>
of State Rex Tillerson is a &quot;long term thinker.&quot; Watch CNBC Live TV&nbsp;..."
http://new.abb.com/sustainability/environment/abb-statement-on-climate-change-and-global-warming,ABB statement on climate change and global warming,"<b>ABB</b> supports the Paris Agreement, which came into force in November 2016, <br>
and considers it a critical opportunity to limit global warming and avert potential <br>
devastating consequences of <b>climate change</b>. The Paris Agreement commits all <br>
parties to undertake nationally determined efforts to reduce greenhouse gas (<br>
GHG)&nbsp;..."
https://www.abb-conversations.com/2017/06/prepared-for-the-challenges-of-climate-change/,Prepared for the challenges of climate change - ABB Conversations,"... Elenia Oy, Finland&#39;s second-largest electricity distribution system operator (DSO), <br>
saw the benefits of grid automation early on. <b>ABB&#39;s</b> pioneering solutions are <br>
playing a significant role in a multi-billion-euro investment boom, as Finnish <br>
DSOs rebuild and improve their ..."
http://new.abb.com/cn/en/sustainability/csr/enviornmental-protection-climate-change,Environmental protection and climate change | ABB,
http://new.abb.com/cn/en/sustainability/csr/enviornmental-protection-climate-change,Environmental protection and climate change | ABB,"Environmental protection and <b>climate change</b>. <b>ABB</b> also aims at building a better <br>
world by supporting various kinds of environmental protection campaigns. <b>ABB</b> <br>
joined hands with one of key customers – Inner Mongolia Power Company to <br>
fight against desertification. <b>ABB</b> donated to support tree-planting near Three <br>
Gorges&nbsp;..."
url,title,text
http://www.abb.com/cawp/seitp202/658895e523a4342bc1257e42003610b3.aspx,ABB Statement on Climate Change and Global Warming,"2015-05-11 - <b>ABB</b> has today issued its <b>climate change</b> and global warming <br>
statement (link). The evidence of <b>ABB&#39;s</b> contribution to a &#39;better world&#39; is often best <br>
illustrated through the huge difference our products, systems and services make <br>
in enabling our customers to lower their environmental impact. Our core offerings <br>
that&nbsp;..."
http://new.abb.com/sustainability/environment/energy-and-climate,Energy and climate | ABB,"The link between energy efficiency, renewable energy and mitigating <b>climate</b> <br>
<b>change</b> is clear. In terms of <b>ABB&#39;s</b> own operations, this means taking action to <br>
reduce energy consumption and greenhouse gas emissions and to pursue low <br>
carbon forms of energy at our plants, offices and along the value chain. As part of <br>
our&nbsp;..."
https://www.cnbc.com/video/2017/09/18/us-climate-change-fight-abb-chairman-peter-voser.html,Confident that the US will get back in climate change fight: ABB ...,"Confident that the US will get back in <b>climate change</b> fight: <b>ABB</b> chairman. 1:00 <br>
AM ET Mon, 18 Sept 2017. <b>ABB</b> Chairman Peter Voser says that U.S. Secretary <br>
of State Rex Tillerson is a &quot;long term thinker.&quot; Watch CNBC Live TV&nbsp;..."
http://new.abb.com/sustainability/environment/abb-statement-on-climate-change-and-global-warming,ABB statement on climate change and global warming,"<b>ABB</b> supports the Paris Agreement, which came into force in November 2016, <br>
and considers it a critical opportunity to limit global warming and avert potential <br>
devastating consequences of <b>climate change</b>. The Paris Agreement commits all <br>
parties to undertake nationally determined efforts to reduce greenhouse gas (<br>
GHG)&nbsp;..."
https://www.abb-conversations.com/2017/06/prepared-for-the-challenges-of-climate-change/,Prepared for the challenges of climate change - ABB Conversations,"... Elenia Oy, Finland&#39;s second-largest electricity distribution system operator (DSO), <br>
saw the benefits of grid automation early on. <b>ABB&#39;s</b> pioneering solutions are <br>
playing a significant role in a multi-billion-euro investment boom, as Finnish <br>
DSOs rebuild and improve their ..."
http://new.abb.com/cn/en/sustainability/csr/enviornmental-protection-climate-change,Environmental protection and climate change | ABB,"Environmental protection and <b>climate change</b>. <b>ABB</b> also aims at building a better <br>
world by supporting various kinds of environmental protection campaigns. <b>ABB</b> <br>
joined hands with one of key customers – Inner Mongolia Power Company to <br>
fight against desertification. <b>ABB</b> donated to support tree-planting near Three <br>
Gorges&nbsp;..."
http://sustainabilityreport2016.e.abb.com/environment/energy-efficiency-renewable-energy-and-climate.html,"Energy efficiency, renewable energy and climate - ABB ...","Just as we target energy and resource efficiency and mitigation of <b>climate change</b> <br>
for our customers, through <b>ABB&#39;s</b> product and solution portfolio, we have also <br>
been working for many years to manage and reduce the impacts of our own <br>
operations. As part of our Group-wide sustainability objective to progressively <br>
increase&nbsp;..."
https://www.abbvie.com/responsibility/operate-responsibly/healthy-environment.html,Healthy Environment - Operate Responsibly - Responsibility | AbbVie,"<b>Climate change</b> is one of the most critical issues facing our planet. We are <br>
committed to helping address this issue by reducing our direct impacts from <br>
manufacturing and by making a positive difference in managing indirect impacts <br>
across our value chain. We encourage our suppliers, distributors and other <br>
stakeholders to&nbsp;..."
https://www.abb-conversations.com/2016/11/cop22-ready-for-marrakesh/,COP22: Ready for Marrakesh - ABB Conversations,"... Monday, November 7 marks the start of the 2016 UN conference on <b>climate</b> <br>
<b>change</b>, also known as the COP22. The annual two-week event, held this year in <br>
Marrakesh, Morocco, brings together the 197 countries that have gone on record <br>
in their commitment to battle <b>climate change</b>. ..."
https://www.forbes.com/sites/gauravsharma/2018/03/08/as-robotics-and-ai-proliferate-in-energy-markets-abb-boss-is-primed-to-capitalize/,"As Robotics And A.I. Proliferate In Energy Markets, ABB's Boss Is ...","... &quot;But for me robots are ubiquitous; and we have played a major role in bringing <br>
robotic solutions into new industry segments from food and beverage to <br>
combating <b>climate change</b> challenges.&quot; It&#39;s a far cry from market rumors of <b>ABB</b> <br>
wanting to sell its robotics business when it was bleeding $300 million in&nbsp;..."
