url,title,text
https://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-spm.pdf,Summary for Policymakers,"This Summary for Policymakers should be cited as: IPCC, 2007: Summary for <br>
Policymakers. In: <b>Climate Change</b> 2007: The Physical Science Basis. <br>
Contribution of Working. Group I to the Fourth Assessment Report of the <br>
Intergovernmental Panel on <b>Climate Change</b> [Solomon, S., D. Qin, M. Manning,. <br>
Z. Chen, M. Marquis,&nbsp;..."
http://novabus.com/2017/02/09/abb-nova-bus-announce-collaboration-electric-transportation/,ABB and Nova Bus announce collaboration on electric transportation,"... “Transportation can be one of the biggest contributors to <b>climate change</b>. <br>
Supporting Nova Bus with <b>ABB&#39;s</b> innovative charging solution will help to reduce <br>
greenhouse gas emissions” explains Derek Monk, General Manager, <b>ABB</b> in <br>
Canada. “We&#39;re thrilled to collaborate with Volvo Buses, it represents a&nbsp;..."
http://sustainabilityreport2015.e.abb.com/our-business/abbs-approach-to-the-sustainable-development-goals.html,ABB's approach to the Sustainable Development Goals - ABB ...,"<b>ABB&#39;s</b> contribution: Community engagement programs worldwide focused on <br>
healthcare, e.g. in India, South Africa, Unites States; Global health and safety <br>
program covering <b>ABB</b> employees and contractors with country-specific <br>
programs on health and occupational health&nbsp;..."
https://www.coastline.fi/2016/2016/01/26/towards-sustainable-world/,Towards a sustainable world - 2016,"... As the world&#39;s leading electrical power and automation technology group, <b>ABB</b> is <br>
in a powerful position to influence <b>climate change</b>. It operates in more than 100 <br>
countries and supplies, for example, motors and frequency converters for industry<br>
, wind turbine generators and electrical power systems. The fact&nbsp;..."
http://europe.solveclimatechange.com/,Companies Vs. Climate Change |,"Senior Vice President HSE and Sustainability at <b>ABB</b> Global Head of <br>
Sustainability at bpost. Senior Sustainable Business Manager at Vodafone <br>
Director of Sustainability at ... Companies Vs. <b>Climate Change</b>. This event aims to <br>
be something different. A forum for both the macro and micro; an exchange of <br>
ideas- shared&nbsp;..."
http://www.ppmc-transport.org/abb-2/,ABB,"Continuing a more than 125-year history of innovation, <b>ABB</b> today is writing the <br>
future of industrial digitalization and driving the Energy and Fourth Industrial <br>
Revolutions. <b>ABB</b> contributes to <b>climate</b> goals with pioneering technologies that <br>
enable utilities, industry and transport &amp; infrastructure customers to improve <br>
energy&nbsp;..."
http://www.ilmastokumppanit.fi/en/climate-commitments/,Climate Commitments | Ilmastokumppanit,"In the energy efficiency agreement, <b>ABB</b> commits to improving their energy <br>
efficiency by nine per cent from the level of 2005 by 2016. <b>ABB</b> will <b>replace</b> <br>
fluorescent lamps with led lights, which use less energy. <b>ABB</b> promises to offer <br>
properties in Helsinki building automation solutions, frequency converters, and <br>
high efficiency&nbsp;..."
http://united4efficiency.org/abb-bringing-expertise-united-efficiency/,ABB Bringing Expertise to United for Efficiency - United for Efficiency,"... Energy efficiency is an essential element of <b>ABB</b> corporate strategy. “Global <br>
<b>climate change</b> and the obligations of the Paris Agreement are calling for <br>
immediate actions. We see United for Efficiency as a practical vehicle for <br>
addressing these questions,” says Olli Mansikka, Business Intelligence Manager <br>
at&nbsp;..."
https://www.weforum.org/agenda/2015/11/open-letter-from-ceos-to-world-leaders-urging-climate-action/,Open letter from CEOs to world leaders urging climate action | World ...,"... &#39;<b>Climate change</b> is one of the biggest global challenges that will shape the way <br>
we do business,&#39; write 79 company chiefs in this open letter from 2015. ... Ulrich <br>
Spiesshofer, CEO, <b>ABB</b> ª * Pierre Nanterme, Chairman and CEO, Accenture ª * <br>
José Manuel Entrecanales Domecq, Chairman and CEO, Acciona ª&nbsp;..."
https://www.businesswire.com/news/home/20180122006126/en/ABB-City-Davos-Pave-Sustainable-Mobility-E-Vehicle,ABB and City of Davos Pave the Way to Sustainable Mobility ...,"... <b>ABB</b> is the technology leader in the fast-charging products and systems that are <br>
transforming transportation in globally sustainable ways. Sustainable <br>
transportation is playing a crucial role in the fight against <b>climate change</b>, as e-<br>
mobility begins to replace fossil-fuel-powered vehicles spewing greenhouse&nbsp;..."
