url,title,text
https://s22.q4cdn.com/899716706/files/doc_financials/corporate/2018/AIF-March-28-2018-FINAL-(SEDAR).pdf,YAMANA GOLD INC.,"... 50% indirect interest) pursuant to which <b>Agnico Eagle Mines Limited</b> (&quot;Agnico <br>
Eagle&quot;) ..... Yamana has a three-fold approach to <b>climate change</b>:."
http://www.rcinet.ca/eye-on-the-arctic/category/countries/canada/ca-business/,Business – Eye on the Arctic,"Toronto-based <b>Agnico Eagle Mines Ltd</b>. is moving ahead with plans to expand an <br>
... Sustainable Arctic fishery monitoring gets powerful digital tool with <b>Global</b>&nbsp;..."
https://ca.linkedin.com/in/paul-houle-b6b9119,Paul Houle - Manager - Prairie and Northern Laboratory for ...,"Environment and <b>Climate Change</b> Canada. Previous. Canadian Food Inspection <br>
Agency,; Exova, ... Thomas Comer. HR Agent at <b>Agnico Eagle Mines limited</b>&nbsp;..."
http://www.prescott-russell.on.ca/UserFiles/Servers/Server_2375121/File/2017/services/planning_forestry/colacem_reponses_action_champlain.pdf,Re,"... Ministry of Environment and <b>Climate Change</b> (MOECC) Schedule 3 standards <br>
which come into .... <b>Agnico</b>-<b>Eagle Mines Ltd</b>. – Baker Lake, NU."
http://www.nirb.ca/project/124683,Project | Nunavut Impact Review Board,"... <b>Agnico Eagle</b>; Ryan Vanengen; 93 Arseneault Suite 202; Val D&#39;Or , Quebec J9P <br>
0E9 Canada; 8196512974; Fax:&nbsp;..."
https://share.ca/documents/investor_briefs/Governance/2017/Trade_Association_Lobbying_Investor_Brief.pdf,Is Canadian trade association lobbying aligned with Canada's Paris ...,"been advocating for strong Canadian <b>climate</b>-<b>change</b>-related policies and <br>
regulations ..... Mining Association of Canada <b>Agnico Eagle Mines Ltd</b>., Albion <br>
Sands&nbsp;..."
http://nuclearsafety.gc.ca/eng/acts-and-regulations/regulatory-action/index.cfm,Regulatory actions - Canadian Nuclear Safety Commission,"... Commission (CNSC) to protect the health, safety and security of Canadians <br>
and <b>the environment</b>. ... Class I nuclear facilities and uranium mines and mills ... <br>
Acciona Infrastructure Canada Inc. <b>Agnico</b>-<b>Eagle Mines Ltd</b>. Am Inspection Ltd."
https://www.federalregister.gov/documents/2018/03/01/2018-04189/settlement-agreement-and-order-on-consent-gilt-edge-mine-superfund-site-lead-lawrence-county-south,Settlement Agreement and Order on Consent: Gilt Edge Mine ...,"... A Notice by the <b>Environmental</b> Protection Agency on 03/01/2018 ... State of South <br>
Dakota (“State”), and <b>Agnico Eagle Mines Limited</b> (“Lessee”)."
http://www.northernpublicaffairs.ca/index/they-should-acknowledge-the-gap-exploring-contemporary-mining-encounters-in-rankin-inlet-nunavut/,'They should acknowledge the gap': Exploring contemporary mining ...,"... Mining projects in the Canadian North are often conceptualized in ... Horowitz <br>
2002), but actors in processes of <b>environmental</b> and social <b>change</b>, albeit in <br>
highly ... activity again, as Toronto-based company <b>Agnico</b>-<b>Eagle Mines Ltd</b>. <br>
develops the ... I had asked her about Agnico-Eagle&#39;s presence within the&nbsp;..."
https://www.bnnbloomberg.ca/stock/AEM.TO,AEM.TO $56.12 0,"<b>Agnico Eagle Mines Ltd</b> (AEM.TO). 57.14 0.13 (0.23%). As of: 05/12/18 4:51:18 <br>
pm. REAL-TIME QUOTE. Prices update every five seconds for TSX-listed stocks."
