url,title,text
http://spain.arcelormittal.com/~/media/Files/A/ArcelorMittal-Espanol/documents/arcelormittal-crreport-16april.pdf,How we create stakeholder value Steel: stakeholder value at every ...,"As a steel and mining company, <b>ArcelorMittal</b> makes an ... <b>ArcelorMittal</b> was <br>
founded on three core values of ... create in response to <b>climate change</b>, our steel<br>
."
http://www.greenpeace.org/archive-international/en/campaigns/climate-change/our_work/expeditions/leaders-and-laggards/,Leaders and Laggards | Greenpeace International,"It challenged firms silent on the issue to join the call for a 30% EU climate target <br>
... Air Act. <b>ArcelorMittal</b> has funded senators who are prominent <b>climate change</b>&nbsp;..."
http://fce.arcelormittal.com/trt,Installation of Top Recovery Turbines - ArcelorMittal Europe - Flat ...,"You can <b>change</b> your cookie settings at any time but parts of our site will not <br>
function ... <b>ArcelorMittal</b> Europe <b>ArcelorMittal</b> Europe - Flat Products website &middot; <br>
Home&nbsp;..."
http://china.arcelormittal.com/index_en.asp,ArcelorMittal China > Home,"<b>ArcelorMittal</b> places its commitment to sustainable development at the heart of its <br>
strategy and ambitions to be a benchmark for economic performance, labour&nbsp;..."
http://www.jaarverslag.com/assets/reports/JaarverslagCOM_ArcelorMittal_Jaarverslag_2007.pdf,Building our Company with the needs of future generations in mind ...,"Sustainability and <b>Climate Change</b>. Operational Review ... The financial <br>
information in this <b>ArcelorMittal</b> Activity Report 2007 has been prepared in <br>
accordance&nbsp;..."
http://annualreview2017.arcelormittal.com/our-progress/priorities-for-our-business-and-our-stakeholders,Priorities for our business and our stakeholders – ArcelorMittal,"Safety; Financial health; <b>Climate change</b>. These three have been identified <br>
through an ongoing and iterative process based on: Our core business priorities,<br>
&nbsp;..."
https://uk.linkedin.com/in/meera-pau-mehta-74a12515,Meera Pau Mehta - Corporate Responsibility Program Manager ...,"Corporate Responsibility at <b>ArcelorMittal</b>. Location: London, United Kingdom ... <br>
Associate Director, Sustainability and <b>Climate Change</b>. PwC. September 2001&nbsp;..."
http://arcelor-mittal.aewebapps.com/issues/1-magazine-vol7-no1/files/assets/common/downloads/publication.pdf,Publication,"... 02. Energy and <b>climate change</b>. Steel industry&#39;s burning issues. 04-05. 2014 in <br>
review. It was a bumper year at <b>ArcelorMittal</b> Dofasco. 06."
http://www.lse.ac.uk/GranthamInstitute/tpi/wp-content/uploads/2017/09/Steel-combined-report-21-Sept.pdf,Management quality and carbon performance of steel makers,"... issues as whether the company has a policy on <b>climate change</b>, the ..... <br>
Operational Decision-Making”: <b>Arcelor Mittal</b>, China Steel, Hyundai&nbsp;..."
https://ca.linkedin.com/in/susan-olynyk-58589b49,"Susan Olynyk - Sourcing Leader, Raw Materials & Electricity ...","<b>ArcelorMittal</b> Dofasco. Sr. Specialist, <b>Climate Change</b>. <b>ArcelorMittal</b> Dofasco. <br>
January 1992 – December 2012 (21 years). See experience details&nbsp;..."
