url,title,text
https://www.moodys.com/credit-ratings/BASF-SE-credit-rating-78520,BASF (SE) Credit Rating - Moody's,"Results 1 - 50 of 63 ... <b>BASF</b> (<b>SE</b>): Update to Discussion of Key Credit Factors ... Will Determine Which <br>
European Corporates are Winners and Losers From <b>Climate</b> Summit Deal ... <br>
Moody&#39;s <b>changes</b> outlook on <b>BASF&#39;s</b> A1/P-1 ratings to stable."
http://www.innovate4climate.com/agenda-2018?p_p_id=AAFullView_WAR_gaagendaactivitatsportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_AAFullView_WAR_gaagendaactivitatsportlet_javax.portlet.action=loadSpeakers,Detailed Agenda | Innovate4Climate,"Amin , Amal-Lee Chief of the <b>Climate Change</b> Division | Inter-American <br>
Development Bank ... Beckmann , Claus Head of Energy &amp; Climate Policy | <b>BASF</b> <br>
<b>SE</b>."
http://www.sustainablebrands.com/news_and_views/collaboration/thorsten_pinkepank/stakeholder_relations_-_invest_it_you_need_rely_it,Stakeholder Relations - Invest in It Before You Need to Rely on It ...,"... As the world&#39;s leading chemical company, <b>BASF</b> has products in all kinds of ... <br>
and at the same time systemic challenges such as <b>climate change</b>, cultural .... is <br>
Senior Manager of Corporate Sustainability Relations at <b>BASF SE</b>."
https://www.ifok.de/en/work,Work | IFOK,"Digitalisation and globalisation, demographic change and the energy transition – <br>
our world is ... Food &amp; <b>Agriculture</b> ... <b>Climate Change</b> Mitigation &amp; Adaptation&nbsp;..."
https://www.hks.harvard.edu/sites/default/files/centers/mrcbg/files/NVAReport.pdf,TACKLING GLOBAL CHALLENGES:,"Lessons in system leadership from the New Vision for <b>Agriculture</b>. 16. Cultivating <br>
a .... challenges like food security, <b>climate change</b>, job creation, and gender parity<br>
. ..... <b>BASF</b>. Bayer CropScience <b>AG</b>. Bunge Ltd. Cargill Inc. Carlsberg Group."
http://www.precisionag.com/systems-management/basf-fortifies-digital-farming-offer-with-zedx-acquisition/,BASF Fortifies Digital Farming Offer with ZedX Acquisition ...,"... <b>BASF</b> has signed an agreement to acquire US-based company ... “<b>BASF</b> is <br>
playing an active role in the digital transformation of <b>agriculture</b>. ... Senior Vice <br>
President, <b>Global</b> Strategic Marketing of <b>BASF&#39;s</b> Crop Protection division. ... In a <br>
time when digital transformation is <b>changing</b> business approaches <b>BASF</b>&nbsp;..."
http://www.worldwatch.org/node/6294,Livestock and Climate Change | Worldwatch Institute,"Livestock and <b>Climate Change</b>: What if the key actors in <b>climate change</b> are...<br>
cows, pigs ... A widely cited 2006 report by the United Nations Food and <br>
<b>Agriculture</b>&nbsp;..."
https://irpages2.equitystory.com/download/companies/BASF/Annual%20Reports/DE000BASF111-JA-2015-EQ-E-00.pdf,BASF Report 2015,"... Safety, security and health. Transportation incidents with significant impact on the <br>
<b>environment</b> ..... the worldwide production sites of <b>BASF SE</b>, its subsidiaries, and <br>
..... <b>Change</b> in value of an investment in <b>BASF</b> shares in 2015."
https://pollution-waste.canada.ca/environmental-emergencies-reporting/cepae2.cfm?lang=En&screen=Search/Search&ReportID=4,Environment and Climate Change Canada - Environmental ...,"... <b>A.G.</b> Simpson Automotive Inc ...... <b>BASF</b> Canada - Toronto Site ...... <b>CHANGE</b> OF <br>
OWNERSHIP - Pengrowth Corporation - 02-04-27-13 W4&nbsp;..."
http://www.uef.fi/en/web/uef-bulletin,UEF Bulletin | UEF,"Universities and society&#39;s <b>changing</b> educational needs &middot; Open science &middot; <br>
Interdisciplinarity in action ... Increasingly effective regulation of the Arctic <b>climate</b>."
