url,title,text
https://publichealth.gwu.edu/content/studying-zika-environmental-justice-and-climate-change-brazil,"Studying Zika, Environmental Justice, and Climate Change in Brazil","Studying Zika, Environmental Justice, and <b>Climate Change</b> in Brazil ... operating <br>
manufacturing plants in the area include Ford, BASF, and <b>Bridgestone</b>."
https://www.citizen.org/documents/injury-in-the-stream-of-commerce-nicastro-report-2-2014.pdf,Injury in the Stream of Commerce,"... fair trade, <b>climate change</b>, and <b>corporate</b> and government accountability. Public <br>
Citizen. 1600 20th Street NW. Washington, DC 20009."
https://www.usaid.gov/what-we-do/gender-equality-and-womens-empowerment,Gender Equality and Women's Empowerment | U.S. Agency for ...,"... For decades, USAID has been leading <b>global</b> efforts to achieve gender ... <br>
Through Feed the Future, we&#39;re advancing policy <b>changes</b> that give&nbsp;..."
https://www.business-humanrights.org/en/election-of-donald-trump-as-president-of-the-usa-implications-for-business-human-rights,Election of Donald Trump as President of the USA - implications for ...,"[A]s President Trump prepares to back away from the Paris climate agreement, <br>
roll back the Obama administration&#39;s signature <b>climate change</b> initiatives, and <br>
appoint an Environmental ... fought the agency, the leaders of <b>corporate</b> America <br>
have for the most part been muted or silent. ... [also refers to Apple, Nike, <br>
<b>Bridgestone</b>]."
https://www.kensingtonautoserviceltd.com/shop-for-tires/tire-brands/bridgestone-tires.aspx,Bridgestone Tires,"Kensington Auto Service <b>Ltd</b>. is one of the leading <b>Bridgestone</b> tire shops in ... of <br>
<b>Bridgestone&#39;s</b> missions is to work toward maintaining “a healthy <b>environment</b> for&nbsp;..."
https://www.pgatour.com/tournaments/wgc-bridgestone-invitational/hospitality.html,World Golf Championships-Bridgestone Invitational: Hospitality,"<b>Change</b> password; Logout ... For more information, please contact <b>Bridgestone</b> <br>
Invitational Sales Managers ... <b>climate</b>-controlled, 1,100-square foot chalet with a <br>
great view of the winning putt on Sunday. ... Designed for those who expect <br>
excellence, this <b>corporate</b> chalet package provides hospitality of obvious <br>
distinction."
https://www.ucsusa.org/global-warming/solutions/reduce-emissions/the-clean-air-act.html,The Clean Air Act | Union of Concerned Scientists,"In 2009, the EPA released its scientific findings, concluding that <b>global warming</b> <br>
emissions presented a danger to public health (known as the “endangerment&nbsp;..."
https://hbr.org/2017/09/audacious-philanthropy,Philanthropy Needs More Moonshots,"Lessons from 15 world-changing initiatives. ... of philanthropic interventions to <br>
arrest <b>climate change</b> or improve U.S. public education, to cite just two examples. <br>
..... In the late 1960s, the Carnegie <b>Corporation&#39;s</b> vice president, Lloyd Morrisett,&nbsp;..."
http://sustainabilityleads.com/jobs/,Sustainability Jobs 2017 — Sustainability Leads,"Program Manager - Sustainability &amp; <b>Corporate</b> Responsibility ... Junior <b>Climate</b> <br>
<b>Change</b> and Sustainability Consultant. ICF .... <b>Bridgestone</b> (Retail Operations)."
https://www.virgin.com/unite/content/get-involved,Get Involved | Virgin Unite,"<b>Climate Change</b>: Our partner RMI has developed online portals to help both the <br>
trucking and shipping industries to improve efficiency."
