url,title,text
https://eos.org/agu-news/colli-and-jones-receive-2017-study-of-the-earths-deep-interior-focus-group-award-for-graduate-research,Colli and Jones Receive 2017 Study of the Earth's Deep Interior ...,"... ... under the supervision of Hans-Peter <b>Bunge</b> and Andreas Fichtner at ... <br>
Hurricane Harvey links to Ocean Heat Content and <b>Climate Change</b>&nbsp;..."
https://www.nbim.no/contentassets/67c692a171fa450ca6e3e1e3a7793311/responsible-investment-2017---government-pension-fund-global.pdf,RESPONSIBLE INVESTMENT,"... global challenges related to child labour, water management, <b>climate change</b> <br>
and, more recently, human rights. We expect company boards to&nbsp;..."
https://marxandphilosophy.org.uk/reviews/15624_doing-science-in-the-light-of-philosophy-reviewed-by-sheldon-richmond/,'Doing Science: In the Light of Philosophy' reviewed by Sheldon ...,"... Those on the far right inveigh against climate scientists and Darwinism. ... ends of <br>
the political spectrum regarding <b>climate change</b> and Darwinism vs. ... According <br>
to the abstraction of science that <b>Bunge</b> develops, science&nbsp;..."
https://unfccc.int/topics/resilience/resources/psi-database,Private Sector Initiative (PSI) database | UNFCCC,"While <b>climate change</b> poses a number of risks to vulnerable communities and <br>
businesses around the world, many opportunities are unfolding for private com..."
https://www.producer.com/2018/03/bunges-argentine-plants-behind-adm-bid/,Bunge's Argentine plants behind ADM bid | The Western Producer,"Prairie <b>climate</b> already <b>changing</b> ... ADM and <b>Bunge</b> are the “A” and “B” of the so-<br>
called “ABCD” group of firms that dominate global grains trading, along with <br>
Cargill and Louis ... <b>Bunge</b> is bigger than ADM in Brazil, as well as in Argentina."
http://www.climatechangenews.com/2018/04/04/norway-oil-fund-omits-meatpacker-jbs-deforestation-watch-list/,Norway oil fund omits meatpacker JBS from deforestation watch list,"... ... on deforestation in their supply chains, as well as American firm <b>Bunge</b>. ... that <br>
adequately controls indirect suppliers,” he told Climate Home News. ... How can <br>
we connect the protection of biodiversity with <b>climate change</b>?"
https://www.economist.com/news/special-report/21710632-oil-companies-need-heed-investors-concerns-how-deal-worries-about-stranded,How to deal with worries about stranded assets - Taken to task,"... But Mr Carney&#39;s remarks presaged a change in attitude towards oil ... If the big oil <br>
companies are encouraged to discuss <b>climate</b>-<b>change</b> risks&nbsp;..."
https://www.regnskog.no/en/news/norway-wealth-fund-must-end-bunge-forest-destruction,Norway's sovereign wealth fund must end soy traders' forest ...,"... One of <b>Bunge&#39;s</b> facilities in Brazil, where soy from a large number of soy ... The <br>
fund&#39;s expectations document on <b>climate change</b> strategy&nbsp;..."
http://www.facing-finance.org/en/2017/03/cargill-and-bunge-continue-to-destroy-the-amazon-region-in-bolivia-and-brazil/,Cargill and Bunge continue to destroy the Amazon region in Bolivia ...,"... Representatives of Cargill and <b>Bunge</b> both claim that many other companies are <br>
also involved, and ... Samsung Electronics – <b>Climate Change</b>."
https://agfax.com/2018/02/21/adm-and-bunge-merger-possibility-could-mean-fewer-marketing-outlets-dtn/,ADM and Bunge Merger Could Mean Fewer Marketing Outlets – DTN,"... ADM and <b>Bunge</b> have a lot, but there still would be well over 200 still ... the 1980s <br>
with the change of leadership in Washington, especially with respect .... Midwest <br>
Corn: <b>Climate Change</b> Should Help Production through 2050,&nbsp;..."
