url,title,text
http://media.daimler.com/marsMediaSite/en/instance/ko/Environment.xhtml?oid=9265793,Environment - Daimler Global Media Site,"After this years&#39; founding of the German <b>Mercedes</b>-<b>Benz</b> Energy GmbH, .... for its <br>
outstanding efforts and exemplary transparency in tackling <b>climate change</b>, and&nbsp;..."
http://supplier-magazine.daimler.com/en/climate-change-in-the-actros/,Daimler Supplier Magazine | Climate Change in the Actros,"... The current auxiliary air conditioning unit of the <b>Mercedes</b>-<b>Benz</b> Actros offers a <br>
number of benefits in comparison to its predecessors, including&nbsp;..."
https://gizmodo.com/mercedes-benz-owner-daimler-ag-may-have-also-rigged-emi-1823142545,Mercedes-Benz Owner Daimler AG May Have Rigged Emissions Tests,"... <b>Daimler AG</b>, the automaker which produces the <b>Mercedes</b>-<b>Benz</b> line of luxury <br>
vehicles, is facing ... More on <b>climate change</b> and also vehicles&nbsp;..."
https://www.daimler.com/documents/company/corporate-governance/declarations/daimler-nonfinancialreport-en-2017.pdf,Non-Financial Report 2017 PDF,"... This report applies to <b>Daimler AG</b> and to the Daimler Group. ... where we can <br>
actually bring about change. ... SDG 13 — <b>Climate Change</b>."
https://www.cdp.net/en/climate/stories-of-change,Stories of change - CDP,"Solving <b>climate change</b> issues through innovative technologies. <br>
Telecommunications ..... <b>Daimler AG</b>, Consumer Discretionary, Germany. Best <br>
practice actions:."
http://annualreport2016.daimler.com/management-report/sustainability-and-integrity/social-responsibility,Social responsibility | Daimler > Interactive Annual Report 2016,"The “Each Girl is a Star” project at <b>Mercedes</b>-<b>Benz</b> Turkey has now provided ... <br>
<b>Climate change</b> is threatening to make entire tracts of land uninhabitable in those<br>
&nbsp;..."
https://www.wemeanbusinesscoalition.org/commitment/commit-to-implement-the-recommendations-of-the-tcfd/,We Mean Business Coalition | Commit to implement the ...,"The previous initiative saw hundreds of companies becoming signatories to the <br>
CDSB Statement on fiduciary duty &amp; <b>climate change</b> disclosure and agreeing to&nbsp;..."
https://corporateeurope.org/pressreleases/2016/12/corporate-bond-purchases-european-central-bank-drive-climate-change-ceo,Corporate bond purchases of European Central Bank drive climate ...,"... ECB funds multinationals and <b>climate change</b> provides the first ever analysis ... <br>
purchases from car makers Volkswagen, BMW and <b>Daimler AG</b>."
https://annualreport2017.daimler.com/non-financial-report/sustainability-at-daimler/our-sustainability-strategy-2030,Our sustainability strategy 2030 | Daimler > Interactive Annual ...,"SDG 13 — <b>Climate Change</b> By setting ambitious targets for reducing the <br>
emissions of our fleets, we are helping to protect the planet from the effects of <br>
climate&nbsp;..."
https://corporateeurope.org/sites/default/files/corporate_bonds_cspp_list.pdf,The ECB's 'quantitative easing' funds multinationals and climate ...,"multinationals and <b>climate change</b>. List of deciphered .... Elering. Electricity and <br>
natural gas distribution. XS0690406243. OMV AG. Oil and gas .... <b>Daimler AG</b>."
