url,title,text
https://www.dow.com/en-us/science-and-sustainability/global-challenges/global-challenges-energy-climate-change,Global Challenges: Energy and Climate Change | Dow,"<b>Dow</b> is developing a variety of solutions to meet today&#39;s energy and <b>climate</b> <br>
<b>change</b> needs. Learn more."
https://www.chemistryworld.com/news/trump-and-dow-chemical-chief-executive-clashed-on-climate/3007750.article,Trump and Dow Chemical chief executive clashed on climate | News ...,"... White House adviser and head of US&#39;s largest <b>chemical</b> firm, Andrew Liveris, <br>
tried to <b>change</b> the president&#39;s mind on Paris accord."
https://www.dow.com/en-us/science-and-sustainability/2025-sustainability-goals/addressing-climate-change,Addressing Climate Change | Dow,"<b>Dow</b> is Addressing <b>Climate Change</b> and positioned to provide innovations that <br>
lead energy alternatives and sustainable energy supply. Learn more."
https://www.greenbiz.com/blog/2013/10/25/dow-chemicals-mixed-messages-climate-change,A closer look at Dow Chemical's climate change reporting | GreenBiz,"... <b>Dow Chemical</b> has a strong track record — with some caveats, as you&#39;ll read <br>
below — of publicly disclosing its <b>climate change</b> work. Why write&nbsp;..."
https://www.dow.com/en-us/about-dow/public-policy/global/energy-and-climate-change,Energy and Climate Change | Dow Chemical,"At the same time, the <b>climate change</b> threat warrants clear and pragmatic action - <br>
and the world must respond with comprehensive, far-reaching solutions."
https://www.theguardian.com/sustainable-business/2015/may/21/dow-chemical-epa-sustainable-business-the-nature-conservancy,Dow Chemical aims to 'redefine the role of business in society ...,"... The <b>Dow Chemical</b> Co industrial site in Midland, Michigan. ... to go a lot further, <br>
declaring that it wants to change the very role of business in society. .... <b>Climate</b> <br>
<b>change</b> (Guardian Sustainable Business) &middot; Carbon reduction&nbsp;..."
https://www.cnbc.com/2017/06/02/dow-chemical-ceo-on-trump-climate-choice-leaders-dont-leave-tables.html,Dow Chemical CEO on Trump climate choice: 'Leaders don't leave ...,"... <b>Dow Chemical</b> CEO on Trump&#39;s <b>climate</b> decision: &#39;Leaders don&#39;t leave tables, <br>
leaders stay&#39; ... Symbol. Price. <b>Change</b>. %<b>Change</b>&nbsp;..."
https://www.vanityfair.com/news/2017/04/dow-chemical-endangered-species,"Dow Chemical Donates $1 Million to Trump, Asks Administration to ...","... Luckily for <b>Dow</b>, the E.P.A. is now run by <b>climate</b>-<b>change</b> skeptic and general <br>
enemy of living things Scott Pruitt, who last month said he would&nbsp;..."
https://www.cnbc.com/video/2017/07/27/dow-chemical-ceo-andrew-liveris-we-have-tailwinds-going-into-the-dupont-merger.html,Dow Chemical CEO Andrew Liveris: We have tailwinds going into ...,"... <b>Dow Chemical</b> CEO Andrew Liveris speaks to CNBC&#39;s Jim Cramer about Dow ... <br>
with DuPont and the administration&#39;s views on <b>climate change</b>."
https://www.linkedin.com/in/gloriamargamez,"Gloriamar Gámez Menéndez - Energy Manager, Climate Change ...","... <b>Climate Change</b>, Renewables &amp; Regulatory @ The <b>Dow Chemical</b> Company ... <br>
and Adapting to Global <b>Climate Change</b>, while driving business growth and&nbsp;..."
