url,title,text
http://www.columbia.edu/~amd155/,Alex de Sherbinin - personal web page,"Dissertation: Spatial analysis of vulnerability to <b>climate change</b> and climate <br>
variability. M.A. Geography, May ... Peace <b>Corps</b>, Mauritania , West Africa . <br>
Agricultural ... de Sherbinin, A., A. Rahman, A. Barbieri, J.C. Fotso, and Y. Zhu (<br>
<b>eds</b>.). 2009."
https://chattahoochee.org/conference/,Chattahoochee Riverkeeper – Climate Change Conference,"... Four million people rely on the Chattahoochee River for their drinking water, <br>
including 70% of the residents in metro Atlanta. As the state&#39;s most&nbsp;..."
https://www.whitehouse.senate.gov/news/op-eds,Op-Eds | News | U.S. Senator Sheldon Whitehouse of Rhode Island,"I share the same concern as Ilya Shapiro in his op-<b>ed</b> &quot;Another Escalation in the <br>
... the CEO of the Murray Energy <b>Corporation</b> - the largest coal mining company <br>
in the ... 3): The answer to why Congress doesn&#39;t act on <b>climate change</b> is simple<br>
&nbsp;..."
https://www.pbs.org/wgbh/frontline/article/robert-brulle-inside-the-climate-change-countermovement/,"Robert Brulle: Inside the Climate Change ""Countermovement ...","... The <b>climate change</b> countermovement, as I call it, is really an add-on to ..... and <br>
it&#39;s not connected to any kind of <b>corporation</b> or individual that you can ..... that they <br>
print, or op-<b>eds</b> that they write to try to get into the major media."
https://www.ipcc-nggip.iges.or.jp/public/mtdocs/pdfiles/1411_FAO-IPCC-IFAD_Rome_AFOLU.pdf,Emerging activities to combat climate change – use of FAO data and ...,"Intergovernmental Panel on <b>Climate Change</b> (IPCC), 2015. Please cite as: ... <b>Eds</b><br>
: Tubiello, F.N., Neeff, T., Tanabe, K., Baasansuren, J. .... FAO should explore how <br>
data in the <b>corporate</b> repositories provide useful input for mitigation analysis. 7."
http://norden.diva-portal.org/smash/get/diva2:768493/FULLTEXT01.pdf,Nordic action on climate change,"Foreword. 5. Progressive policies to combat <b>climate change</b> .... <b>ed</b> with abundant <br>
geothermal ...... The Nordic Environment Finance <b>Corporation</b> (NEFCO) invests."
https://www.epa.gov/sites/production/files/2015-03/documents/epa_2012_climate_water_strategy_full_report_final.pdf,National Water Program 2012 Strategy: Response to Climate Change,"ates negative effects. ▫ Adaptive capacity: The ability of a system to adjust to <br>
<b>climate change</b> ..... SA17: Evaluate, in conjunction with the U.S. Army <b>Corps</b> of En<br>
- gineers, how wetland and ..... illo, and Thomas C. Peterson, (<b>eds</b>.)]. New York:&nbsp;..."
https://jcsr.springeropen.com/articles/10.1186/s40991-016-0002-8,Rethinking corporate social responsibility in the age of climate ...,"Rethinking <b>corporate</b> social responsibility in the age of <b>climate change</b>: a <br>
communication ... International Journal of <b>Corporate</b> Social Responsibility20161:<br>
1."
https://www.flseagrant.org/wp-content/uploads/USACE_SLR_guidance_ER_1100-2-8162.pdf,usace,"... This Regulation provides United States Army <b>Corps</b> of Engineers (USACE) <br>
guidance for .... USACE <b>Climate Change</b> Adaptation Policy Statement, 3 June <br>
2011. ... Marquis, K. B. Averyt, M. Tignor, and H. L. Miller, <b>eds</b>.)."
https://www.forbes.com/sites/edfenergyexchange/2017/04/12/corporate-climate-leadership-in-the-age-of-trump/,Corporate Climate Leadership In The Age Of Trump,"... <b>Corporate</b> Climate Leadership In The Age Of Trump ... former President Barack <br>
Obama&#39;s plan to curb <b>global warming</b>. ... Speak publicly about your convictions <br>
through op-<b>eds</b>, like PepsiCo did in support of truck standards."
