url,title,text
https://www.gazprom-energy.co.uk/business-energy/energy-information/regulatory-information/climate-change-levy-ccl/,Climate Change Levy (CCL) | Gazprom Energy,"The <b>Climate Change</b> Levy (CCL) is designed to encourage energy savings and <br>
the reduction of carbon dioxide emissions."
http://www.gazprom.com/press/news/2018/march/article412911/,Gazprom signs Guiding Principles to reduce methane emissions ...,"... Our Company is making considerable efforts to improve global energy security <br>
and prevent <b>climate change</b> by strengthening the role of natural&nbsp;..."
https://www.opendemocracy.net/od-russia/morena-skalamera/climate-policy-according-to-gazprom,Climate policy according to Gazprom | openDemocracy,"... On that occasion, it was <b>Gazprom&#39;s</b> new-found interest in the prestige .... But now, <br>
with China finally ready to work on <b>climate change</b>, India has&nbsp;..."
https://www.gazprom-energy.co.uk/help-and-support/bills-payments/what-is-the-climate-change-levy-ccl/,What is the Climate Change Levy (CCL)?,"Find out what the government&#39;s <b>Climate Change</b> Levy (CCL) is, who it applies to, <br>
and how it may affect your business, right here on the <b>Gazprom</b> Energy help&nbsp;..."
http://www.gazpromexport.ru/en/about/environment/,Environment | Gazprom Export,"For <b>Gazprom</b> Export doing business means following the strictes ... Protecting the <br>
environment and countering the adverse global <b>climate change</b> has become&nbsp;..."
https://www.theguardian.com/environment/2013/dec/13/gazprom-arctic-oil-protest-climate-change,Gazprom's over-reaction to Arctic oil protest is a sign their fortune is ...,"... Kumi Naidoo: Action on <b>climate change</b> would wipe billions off oil company <br>
balance sheets and they are determined to silence their critics."
https://www.greenpeace.org/archive-international/en/press/releases/2013/Independent-research-exposes-who-is-responsible-for-climate-change-Gazprom-and-Shell-star/,Share,
https://www.ft.com/content/7fc597ee-1dc4-11e7-b7d3-163f5a7f229c,Denmark proposes law change to block Gazprom pipeline,"... Denmark&#39;s government wants to <b>change</b> the country&#39;s laws in a way that could <br>
allow a proposed Russian gas pipeline to Europe to be blocked,&nbsp;..."
http://www.climatechangenews.com/2014/05/01/arrests-as-greenpeace-targets-gazprom-arctic-oil-shipment/,Arrests as Greenpeace targets Gazprom Arctic oil shipment,"... Arrests as Greenpeace targets <b>Gazprom</b> Arctic oil shipment ... the region, and <br>
poses a wider threat to global efforts to address <b>climate change</b>."
https://thebarentsobserver.com/en/ecology-industry-and-energy/2016/09/climate-change-could-jeopardize-yamal-gas-development-government,Climate change could jeopardize Yamal gas development ...,"... <b>Climate change</b> could jeopardize Yamal gas development, Government fears. «<br>
We have ... <b>Gazprom</b> in 2012 launched its Bovanenkovo field."
