url,title,text
https://fastenopfer.ch/content/uploads/2016/03/Report-dfi-Landgrabbing.pdf,Glencore en République Démocratique du Congo: le profit au ...,"4.3 <b>International</b> Fund for <b>Agricultural</b> Development (IFAD) . ..... effects of <b>climate</b> <br>
<b>change</b> (i.e. Reducing Emissions from Deforestation and Forest. Degradation&nbsp;..."
https://www.thebalance.com/company-profile-glencore-international-ag-2340298,Company Profile: Glencore International AG,"... <b>Glencore International AG</b> (<b>Glencore</b>) is involved in the production, ... A 34.4% <br>
interest in Xstrata, a major <b>global</b> copper, zinc, nickel and&nbsp;..."
https://www.greenpeace.org.uk/wp-content/uploads/2018/04/OffTrackInvestorBriefing.pdf,Off Track,"the <b>International</b> Energy Agency&#39;s 450. Scenario ... and <b>Climate Change</b> from Oil <br>
Change. <b>International</b> and ..... 4 Geoscience Australia and Australian Bureau of <br>
<b>Agricultural</b> &amp;. Resource .... 20, http://www.<b>glencore</b>.com/assets/sustainability/doc<br>
/."
http://www.glencore.com.au/en/media-centre/News/Media-Statement-Glencore-progresses-low-emission-coal-project-in-Queensland.pdf,Glencore progresses low emission coal project in Queensland 12/08 ...,"... <b>Glencore&#39;s</b> wholly-owned subsidiary Carbon Transport and Storage ... <b>climate</b> <br>
<b>change</b> goals. ... mining and metallurgical sites, oil production assets and <br>
<b>agricultural</b> facilities. ... <b>International</b> Council on Mining and Metals."
http://www.longfinance.net/LondonAccord/2017/BBVA_SDGs&Investing_Jan18.pdf,Sustainable Development Goals As A Framework For Climate ...,"... future, according to Mercer (Investing in a time of <b>climate change</b>, 2017) ...... <br>
Natural Sdg Sa, Gentera, <b>Glencore Plc</b>, Gmexico, Grifols Sa, Grupo&nbsp;..."
https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/justice_report_0.pdf,Justice for People and Planet,"aiming to tackle <b>climate change</b> and promote sustainable development are ..... <br>
<b>Glencore</b> and Grupo Bimbo provided their opinions in a reaction to the right of <br>
reply ...... Novartis <b>International AG</b>, Total SA, Trafigura Group Pte. Ltd, <br>
Schörghuber."
http://www.cadtm.org/Paul-Singer-market-master-or,Paul Singer—market master or litigious vulture?,"... ... shilling for big tobacco, [9] giving voice to <b>climate change</b> denialists, .... that <br>
<b>Glencore International AG</b>, the world&#39;s largest commodity trader,&nbsp;..."
https://www.ripe.net/membership/indices/data/ch.glencore.html,Glencore International AG,"<b>Glencore International AG</b>. Baarermattstrasse 3 6340 Baar ... e-mail: andrew (dot) <br>
burns (at) <b>glencore</b> (dot) com. Areas serviced: AU CA CH CL GB NL PE SG US&nbsp;..."
http://www.glencore.ch/,Glencore Schweiz: Startseite - Startseite,"<b>Glencore</b> ist eines der weltweit grössten diversifizierten ... Obwohl unsere <br>
Betriebe weltweit positioniert sind, liegen unsere Wurzeln in der <b>Schweiz</b>. Wir <br>
sind&nbsp;..."
https://www.fairfinanceguide.de/media/276861/facing-finance_dirty-profits-3_2014_en_online.pdf,Dirty Profits 3,"<b>Glencore plc</b> (Switzerland) 30 ... corporations financing the injustice of <b>climate</b> <br>
<b>change</b>.&quot; ... IPCC (2014): <b>Climate Change</b> 2014: Synthesis Report www.ipcc.ch&nbsp;..."
