url,title,text
https://www.ineos.com/inch-magazine/articles/issue-5/climate-of-change/,Climate of change,"By 2030 <b>INEOS</b>, AGA, AkzoNobel, Borealis and Perstorp, the chemical cluster in <br>
... but the rest of the world if it is to help reverse the effects of <b>climate change</b>."
https://www.independent.co.uk/news/business/news/brexit-ineos-climate-change-laws-lobbying-exploiting-uk-eu-withdrawal-foi-documents-a7665136.html,Chemicals giant Ineos 'exploiting Brexit to relax climate change laws ...,"... Chemicals giant <b>Ineos</b> has been accused of exploiting Brexit to pressure <br>
ministers to get rid of environmental legislation. <b>Ineos</b>, which is one of&nbsp;..."
https://www.ineos.com/sustainability/,Sustainability,"Rising energy prices and <b>climate change</b> have created a need for new lower <br>
carbon energy sources. All of this is driving the transition towards a resource and<br>
&nbsp;..."
https://drillordrop.com/2018/04/30/climate-change-to-be-considered-at-ineos-legal-challenge-to-scottish-fracking-ban/,Climate change to be considered at Ineos legal challenge to ...,"... “We are getting involved in <b>INEOS&#39;s</b> judicial review of the fracking ban in order to <br>
put forward crucial <b>climate change</b> arguments in support of the&nbsp;..."
https://www.theguardian.com/environment/2017/apr/03/ineos-leads-lobbying-effort-to-get-out-of-paying-green-tax,Fracking firm Ineos leads industry lobbying to avoid green tax ...,"... Anglo-Swiss chemicals firm <b>Ineos</b> is privately leading an industry ... from policy <br>
costs and CCL [<b>climate change</b> levy, an environmental tax]."
https://www.gov.uk/government/news/letterone-transaction-with-ineos,LetterOne transaction with INEOS - GOV.UK,"... From: Department of Energy &amp; <b>Climate Change</b> ... is finalising the sale of 12 <br>
North Sea assets to the leading chemical and oil company <b>INEOS</b>."
https://www.theguardian.com/environment/2017/oct/10/ineos-discloses-document-used-to-gain-injunction-on-fracking-protests,Ineos compelled to disclose document it used to justify fracking ...,"... Petrochemical company backs down after earlier refusal to the Guardian&#39;s <br>
request to hand over the legal document."
https://friendsoftheearth.uk/climate-change/ineos-plan-put-drilling-rig-sherwood-forest-investigation-reveals,"INEOS plan to put drilling rig in Sherwood Forest, investigation reveals","<b>INEOS</b> has identified a potential fracking site in Sherwood Forest, despite only ... <br>
Fracking poses risks to the local environment and contributes to <b>climate change</b>."
https://www.theguardian.com/business/2016/sep/27/first-shipment-of-fracked-shale-gas-set-to-arrive-in-uk,First shipment of fracked shale gas set to arrive in UK | Business ...,"... US tanker to dock at <b>Ineos</b> plant in Grangemouth, less than 24 hours after ... said <br>
that fracking is “not compatible” with tackling <b>climate change</b>."
https://theferret.scot/companies-climate-pollution-scotland/,Named: the companies causing the most climate pollution,"... Three big fossil fuel companies are Scotland&#39;s worst climate polluters, with ... Oil, <br>
gas and chemical plants run by <b>Ineos</b>, ExxonMobil and Shell in Grangemouth, ... <br>
efforts to reduce them to avoid catastrophic <b>climate change</b>."
