url,title,text
https://www.sec.gov/Archives/edgar/data/51434/000005143417000007/ip10-k123116.htm,Document,"<b>International Paper Company</b> (the “<b>Company</b>” or “<b>International Paper</b>,” which <br>
may ..... Additional information regarding <b>climate change</b> and <b>International Paper</b> <br>
is&nbsp;..."
https://www.journals.elsevier.com/environment-international/,Environment International - Journal - Elsevier,"Environment <b>International</b> is an <b>international</b>, multidisciplinary Journal situated at <br>
the .... editorial excellence, fast publication, and high visibility for your <b>paper</b>. ... <br>
<b>International</b> between 2014 and 2017; The Impact of <b>climate change</b> on health&nbsp;..."
https://www.rand.org/topics/global-climate-change.html,Global Climate Change | RAND,"<b>Global</b> climate models developed by the UN&#39;s Intergovernmental Panel on <br>
<b>Climate Change</b> predict glacial retreat, rises in sea level, and other impacts on <br>
human&nbsp;..."
http://s1.q4cdn.com/597881801/files/doc_financials/2015/Final-Filed-IP-10-K-12-1-14.pdf,INTERNATIONAL PAPER COMPANY,"... “we” or “us”) is a <b>global paper</b> and packaging <b>company</b> with primary .... <b>Climate</b> <br>
<b>change</b> refers to any significant change in the measure of the&nbsp;..."
https://obamawhitehouse.archives.gov/climate-change/pledge,American Business Act on Climate Pledge | The White House,"We recognize that delaying action on <b>climate change</b> will be costly in ... <br>
International Flavors &amp; Fragrances <b>Inc</b>. <b>International Paper</b>; Intex Solutions; Intren<br>
&nbsp;..."
http://www.packagingdigest.com/paper/international-paper,International Paper | Packaging Digest,"<b>International Paper</b> (NYSE: IP) is a global leader in packaging, paper and fluff <br>
pulp ... fluff pulp and uncoated papers, complemented by xpedx, the <b>company&#39;s</b> ... <br>
U.S. Environmental Protection Agency (EPA), the Association of <b>Climate Change</b><br>
&nbsp;..."
http://www.nature.com/nclimate/,Nature Climate Change,"... Nature <b>Climate Change</b> is dedicated to publishing the most significant ... and <br>
social sciences on the impacts of <b>global climate change</b> and its&nbsp;..."
https://www.greenbiz.com/events/greenbiz-forum/phoenix/2018/sponsors,Sponsors | GreenBiz,"As a natural resource <b>company</b>, Nestlé Waters sustainably manages our 47 <br>
spring sources and ... For more information about <b>International Paper</b>, our <br>
products and global .... <b>Climate change</b> and sustainability continue to rise on the <br>
agendas of&nbsp;..."
https://www.washingtonpost.com/news/powerpost/paloma/the-energy-202/2017/06/13/the-energy-202-paris-climate-accord-divides-industrial-trade-group/593edc18e9b69b2fb981dcf5/,The Energy 202: Paris climate accord divides industrial trade group ...,"... <b>International Paper</b>, one of the largest pulp and paper companies in the ... SABIC, <br>
or the Saudi Arabia Basic Industries <b>Corporation</b>, a chemical ... As a result, the <br>
United States was relegated to a footnote in the <b>climate</b>-<b>change</b>&nbsp;..."
https://climatenexus.org/climate-change-news/companies-dropping-alec/,Companies Dropping ALEC | Climate Nexus,"... Latest Companies to Drop ALEC Include News <b>Corp</b>., Occidental Petroleum ... <br>
Petroleum and <b>International Paper</b> as the latest companies to make their ... it <br>
could be “presumed to share” ALEC&#39;s position on <b>climate change</b>."
