url,title,text
https://www.motorola.com/us/about/corporate-responsibility-environment,Corporate Responsibility Environment | Motorola,"<b>Motorola Mobility</b> operates “take back” programs on our own and in ... carbon <br>
dioxide and other greenhouse gases, which in turn contribute to <b>climate change</b>."
https://rankabrand.org/electronics/Motorola,Motorola and sustainability: D-label | Buy sustainable brands,"... Questions about <b>Climate Change</b>/ Carbon Emissions ... <b>Motorola Mobility</b> reports <br>
its climate footprint (Scope 1&amp;2) of own operations for 2014&nbsp;..."
https://b8f65cb373b1b7b15feb-c70d8ead6ced550b4d987d7c03fcdd1d.ssl.cf3.rackcdn.com/comfy/cms/files/files/000/000/945/original/CDP_Benchmark_Report_example.pdf,Custom Benchmarking Report,"Peer companies selected: <b>Motorola Solutions</b>, Maple Leaf Foods <b>Inc</b>., Metro ... <br>
powered by public responses from CDP 2017 <b>climate change</b> information <br>
request."
https://www.marriott.com/MarriottInternational/CorporateResponsability/Performance_New_2016/SPG_PDFs/CDP-SP500-climate-report-2013.pdf,CDP S&P 500 Climate Change Report 2013,"that time, and with your support, CDP has accelerated <b>climate change</b> and <br>
natural resource issues to ..... reported by the <b>company</b>, on <b>climate change</b> <br>
mitigation,."
https://www.motorolasolutions.com/en_us/about/company-overview/corporate-responsibility/operations.html,Environment - Motorola Solutions,"<b>Motorola Solutions</b> is committed to various policies and regulations that help us <br>
have a positive impact on our customers, employees and communities."
https://www.cdp.net/en/reports/archive,CDP,"... their greenhouse gas emissions, water management and <b>climate change</b> <br>
strategies through CDP every year. ... Search and view <b>company</b> &amp; city <br>
responses."
https://www.motorolasolutions.com/content/dam/msi/docs/about-us/company_overview/quality-leadership/quality_manual.pdf,QUALITY MANUAL CUSTOMERS ARE AT THE CENTER OF ...,"The senior leadership team at <b>Motorola Solutions</b> is committed to providing <br>
<b>solutions</b> ..... We are involved in voluntary <b>climate change</b> programs, such as the."
https://www.cdp.net/en/campaigns/commit-to-action,Commit to action - CDP,"Commit to meaningful action on tackling <b>climate change</b> to see stronger financial <br>
performance and mitigate risks. ... with our accredited gold software <b>solutions</b> <br>
provider Ecometrica to learn how their water assessment can .... <b>Motorola</b> <br>
<b>Solutions</b>"
https://www.iccr.org/iccrs-shareholder-resolutions,ICCR's Shareholder Resolutions | ICCR (Interfaith Center on ...,"2018 Shareholder Resolutions / Environmental Performance by Sector. Search <br>
for companies: .... Cohen &amp; Steers <b>Inc</b> (CNS), Proxy Voting Policies - <b>Climate</b> <br>
<b>Change</b>. Comcast <b>Corp</b>. .... <b>Motorola Solutions Inc</b> (MSI), Ethical Labor <br>
Recruitment"
https://newsroom.motorolasolutions.com/news/bogot-at-vanguard-public-safety-communication-systems.htm,"Bogotá, At the Vanguard of Public Safety Communication Systems ...","... ... and District Institute of Risk Management and <b>Climate Change</b> (IDIGER, ... This <br>
latest version of <b>Motorola Solutions</b>&#39; P25 radio system has&nbsp;..."
