url,title,text
https://www.nestle.com/csv/impact/climate-change/climate-change,Climate change leadership | Nestlé Global,"<b>Nestlé</b> commits to reducing emissions while strengthening our supply chain and <br>
helping those who we work with become more resilient to <b>climate change</b>."
https://newrepublic.com/article/141779/corporations-defying-trump-climate-change-not-heroes,The Corporations Defying Trump on Climate Change Are Not Your ...,"... “We believe <b>climate change</b> is real and the science is well accepted,” ... <b>Nestlé</b>, <br>
the world&#39;s largest food company, noted (correctly) that the&nbsp;..."
https://www.washingtonpost.com/news/wonk/wp/2014/09/05/how-climate-change-is-affecting-the-worlds-biggest-food-company/,How climate change is affecting the world's biggest food company ...,"... I sat down with <b>Nestle S.A.</b>&#39;s vice president and <b>global</b> head of operations José <br>
Lopez, who&#39;s also often described as the company&#39;s head of&nbsp;..."
https://www.nestle.com/ask-nestle/environment/answers/nestle-climate-change,What is Nestlé doing about climate change? | Nestlé Global,"<b>Nestlé</b> is a leader in the area of <b>climate change</b> mitigation and adaptation. We <br>
are committed to lowering greenhouse gas emissions."
https://www.nestle-nespresso.com/newsandfeatures/how-agroforestry-can-increase-coffee-farms-resilience-to-climate-change,Nestlé Nespresso: how-agroforestry-can-increase-coffee-farms ...,"On the occasion of World Environment Day, Tristan Lecomte, co-founder and <br>
president of Pur Projet, explains why <b>climate change</b> puts coffee farms at risk and<br>
&nbsp;..."
https://www.theguardian.com/sustainable-business/blog/nestle-chairman-climate-change-controversy-peter-brabeck,Nestlé chairman warns against playing God over climate change ...,"... Peter Brabeck courts controversy by claiming <b>climate change</b> is ... The success of <br>
early initiatives in countries such as <b>South Africa</b> and has led&nbsp;..."
https://www.nestle-nespresso.com/nespresso-sustainability/the-positive-cup/climate,Nestlé Nespresso: Climate,"The effects of <b>climate change</b> are becoming apparent in coffee producing regions<br>
. We take this seriously, acknowledging the fact that every cup of coffee has a&nbsp;..."
http://www.nestle.com/asset-library/documents/library/documents/corporate_social_responsibility/nestle-csv-full-report-2015-en.pdf,Nestlé in society Creating Shared Value and meeting our ...,"197 Promoting sustainable consumption. 201 Waste and recovery. 207 Providing <br>
<b>climate change</b> leadership. 222 Our role in human rights and compliance."
http://www.nestleusa.com/sustainability/climate-change-leadership,Climate change leadership,"Our commitment: Provide <b>climate change</b> leadership ... <b>Nestlé</b> is one of many <br>
companies in the food industry ramping up efforts to both protect the environment<br>
&nbsp;..."
https://www.springer.com/cda/content/document/cda_downloaddocument/9789812879745-c2.pdf?SGWID=0-0-45-1545546-p177734094,"Climate Change, Resource Efficiency and Sustainability","1 Introduction. At Nestlé, we take the risks of <b>climate change</b> very seriously. This <br>
is not only ... P. Brabeck-Letmathe (&amp;). Board of <b>Nestlé SA</b>, Vevey, Switzerland."
