url,title,text
http://www.cbc.ca/news/world/trump-paris-agreement-climate-announcement-1.4141647,Trump announces U.S. will withdraw from 'very unfair' Paris climate ...,"... Trump announces U.S. will withdraw from &#39;very unfair&#39; Paris climate accord ... <br>
from Coca-Cola to 3M to Dow Chemical and <b>Procter &amp; Gamble</b> have ... &quot;Let&#39;s be <br>
clear, no one country can stop action on <b>climate change</b>, that the .... Elon Musk <br>
fires back at Tesla critics amidst <b>company</b> shake-up, NTSB probes."
http://financialpost.com/opinion/lawrence-solomon-canadians-should-be-grateful-to-trump-for-killing-the-paris-climate-deal,Lawrence Solomon: Canadians should be grateful to Trump for ...,"... ... <b>Procter</b> and <b>Gamble</b> is the latest <b>company</b> to leave, fleeing coal-free ... <br>
Knowing he won&#39;t be able to run another stealth <b>climate change</b>&nbsp;..."
http://fortune.com/2015/10/19/white-house-climate-pledge/,Huge companies commit to White House climate change pledge ...,"... Among the consumer goods companies are <b>Procter</b> and <b>Gamble</b> (pg, ... To learn <br>
more about the White House <b>climate change</b> pledge, watch&nbsp;..."
https://www.youtube.com/watch?v=SxnLy8oUhw0,Three Challenges Answered by Procter and Gamble's Divestment ...,"... <b>Procter</b> and <b>Gamble&#39;s</b> decision to divest 100 brands falls in line with the <br>
<b>company&#39;s</b> mantra of efficiency and innovation but also ... Divestment and <b>climate</b> <br>
<b>change</b>: Thomas Stoner at TEDxHamsphireCollege - Duration: 16:21."
https://www.edie.net/news/4/-proctor-gamble-water-reduction-dishwasher-tablets-phosphates/,Procter & Gamble to eliminate phosphates from dishwasher tablets ...,"... Consumer goods firm <b>Procter &amp; Gamble</b> has announced a new innovation ... <br>
According to the <b>company</b>, more than 4,500 tonnes of phosphates will be ... to <br>
collaborate and accelerate their efforts to address <b>climate change</b>."
http://www.marcgunther.com/pg-a-bold-green-vision-but/,P&G: A bold green vision but…,"... <b>Procter &amp; Gamble</b>, the world&#39;s largest consumer products <b>company</b>, ... In the next <br>
decade or so, if <b>P&amp;G</b> continues to grow, its <b>environmental</b>&nbsp;..."
https://www.forumforthefuture.org/project/i-team/overview,The i-team | Forum for the Future,"Ordinarily used by leading companies such as Apple and <b>Proctor &amp; Gamble</b> to ... <br>
Using innovation techniques in the public sector to help tackle <b>climate change</b>. ... <br>
Andrea <b>co</b>-leads the Service Innovation and Design practice at IDEO London,&nbsp;..."
http://engineeringcareers.utoronto.ca/roadmap/company-lists/,Company Lists,"What to do Next » <b>Company</b> Lists ... Ministry of Environment and <b>Climate Change</b><br>
. Mondelez .... Engineering Science - Biomedical, <b>Procter &amp; Gamble</b> Inc. (<b>P&amp;G</b>)."
https://www.campaignlive.co.uk/article/climate-coalition-showthelove-rsa-films/1423615,"The Climate Coalition ""#ShowTheLove"" by RSA Films","... Brands: Amazon Facebook John Lewis <b>Procter &amp; Gamble</b> ... The Climate <br>
Coalition &quot;#ShowTheLove&quot; by RSA Films ... which encourages the public to <br>
protect the places they love from <b>climate change</b>. ... Production <b>company</b>."
https://www.macfound.org/fellows/70/,Will Allen,"... of the non-profit organization Growing Power, which he directs and <b>co</b>-founded<br>
. ... years in corporate marketing at <b>Procter</b> and <b>Gamble</b>, he returned to his roots&nbsp;..."
