url,title,text
http://news.exxonmobil.com/press-release/rosneft-and-exxonmobil-expand-strategic-cooperation,Rosneft and ExxonMobil Expand Strategic Cooperation ...,"... MOSCOW--(BUSINESS WIRE)--<b>Rosneft</b> and ExxonMobil have agreed to ... field <br>
development technologies used in harsh <b>climatic</b> conditions.” ... the outcome of <br>
exploration programs; <b>changes</b> in prices and other market and&nbsp;..."
http://jakartaglobe.id/asia-pacific/chinas-cefc-set-overtake-trafigura-main-rosneft-oil-trader-asia/,China's CEFC Set to Overtake Trafigura as Main Rosneft Oil Trader ...,"... China&#39;s CEFC looks set to unseat Trafigura as <b>Rosneft&#39;s</b> main oil trading ... <br>
targets to reduce <b>climate</b>-<b>changing</b> emissions, researchers said."
http://siberiantimes.com/business/investment/news/rosneft-invests-28-billion-in-three-siberian-oil-fields-to-supply-asia/,Rosneft invests $2.8 billion in three Siberian oil fields to supply Asia,"... <b>Rosneft&#39;s</b> East Siberian Vankor field, pumping an average 435,000 bpd in ... <br>
<b>Climate change</b> offers chance of major economic boost in Arctic for&nbsp;..."
https://www.ecowatch.com/bp-russia-sanctions-2525685917.html,BP Accused of 'Side-Stepping' Russian Sanctions,"... ... was BP&#39;s 19.75 percent stake in Russian state oil company, <b>Rosneft</b>. .... And <br>
they were warmer because of human-driven <b>climate change</b>,&nbsp;..."
http://priceofoil.org/2018/01/15/bp-accused-of-side-stepping-russian-sanctions/,"BP Accused of “Side-stepping"" Russian Sanctions - Oil Change ...","... ... was BP&#39;s 19.75% stake in Russian state oil company, <b>Rosneft</b>. ... four other oil <br>
companies for the <b>climate change</b> damage they have caused."
http://www.peoplevsbigpolluters.org/content/sign-show-your-solidarity-those-who-are-demanding-climate-justice-and-accountability-16,Rosneft's,"<b>Rosneft&#39;s</b> cumulative emissions: 4.153 MtCO2e (data through 2013) ... Sign up to <br>
show your solidarity with those who are demanding climate justice and ... your <br>
voice to protect current and future generations from dangerous <b>climate change</b>."
http://www.cfact.org/2016/10/30/billionaire-crony-corporatist-schemes/,Billionaire crony corporatist schemes,"... ... prevent catastrophic manmade <b>climate change</b>) drives and excuses ... in <br>
Russian oil and gas; <b>Rosneft</b>, the Russian-government-owned oil&nbsp;..."
"https://en.wikipedia.org/wiki/Greg_Barker,_Baron_Barker_of_Battle","Greg Barker, Baron Barker of Battle - Wikipedia","Gregory Leonard George Barker, Baron Barker of Battle, PC (born 8 March 1966) <br>
is a British Conservative Party politician and life peer. In May 2010 he was <br>
appointed Minister of State for Energy and <b>Climate Change</b> serving until&nbsp;..."
http://energypost.eu/russia-keeps-expanding-oil-production-despite-low-oil-prices/,Russia keeps expanding oil production despite low oil prices,"... Because of <b>changes</b> in the exchange rate, the decline in the Brent price ... <br>
<b>Rosneft&#39;s</b> exploration and production capital expenditure in the first&nbsp;..."
http://polarconnection.org/trump-administration-arctic-policy/,"Personnel is Policy: Tillerson, Trump's Cabinet, and the Arctic | The ...","... In particular, Exxon and <b>Rosneft</b> jointly co-own Exxon Neftegaz Ltd and ... of <br>
ExxonMobil, he paid lip service to concerns over <b>climate change</b>,&nbsp;..."
