url,title,text
http://www.reuters.com/article/us-japan-tech-farming-idUSKBN0GJ25C20140819,Silicon to spinach: Japan tech helps farmers cope with climate shifts,"... Companies are also converting factories into farms: <b>Toshiba Corp</b> is to start ... as <br>
farmers fret over the impact of <b>climate change</b> on their crops."
https://www.nytimes.com/2017/07/31/climate/nuclear-power-project-canceled-in-south-carolina.html,U.S. Nuclear Comeback Stalls as Two Reactors Are Abandoned ...,"... Construction began before Westinghouse, a subsidiary of <b>Toshiba</b> of Japan, had <br>
... out its partners, but analysts say the <b>company</b> did not have sufficient expertise <br>
in ... How Americans Think About <b>Climate Change</b>, in Six Maps."
https://www.weforum.org/projects/climate-change-solutions,Climate Change Solutions | World Economic Forum,"The World Economic Forum <b>Climate</b> Initiative provides a <b>global</b> platform to help ... <br>
The Dow Chemical Company; <b>Toshiba Corporation</b>; Trina Solar; UBS Group;&nbsp;..."
http://www.mynewsdesk.com/toshiba-global/blog_posts/innovating-smart-solutions-for-vegetable-production-32570,Innovating Smart Solutions for Vegetable Production - Toshiba ...,"... As Toshiba reinforces its presence in the global healthcare market, it is looking ... <br>
The building is home to <b>Toshiba Corporation&#39;s</b> first plant factory. ... Whatever its <br>
causes, <b>climate change</b> is set to cut a swathe through some of&nbsp;..."
https://www.reuters.com/article/us-usa-nuclear-georgia/southern-co-plans-to-complete-lone-new-u-s-nuclear-plant-project-idUSKCN1BB1RT,Southern Co plans to complete lone new U.S. nuclear plant project ...,"... However, the company also said capital costs to finish the project will total ... a <br>
subsidiary of <b>Toshiba Corp</b> of Japan, and were touted as quicker to build and <br>
safer ... is now unwinding steps aimed at countering <b>climate change</b>."
http://news.toshiba.com/press-release/corporate/regional-winners-26th-annual-exploravision-competition-announced-toshiba-and,Regional Winners of 26th Annual ExploraVision Competition ...,"... Promoting Sustainability and Curbing <b>Climate Change</b> ... For over 140 years, <br>
<b>Toshiba Corporation</b> has contributed to a sustainable future by&nbsp;..."
http://www.businessinsider.com/apple-amazon-and-google-agree-to-paris-climate-agreement-rules-2017-6,"Apple, Amazon, and Google agree to Paris climate agreement rules ...","... The Paris agreement was intended to slow <b>climate change</b> by setting ..... <br>
Toad&amp;Co; TopHatch, <b>Inc</b>. <b>Toshiba</b> America Business Solutions, <b>Inc</b>."
https://www.epa.gov/f-gas-partnership-programs/1st-international-conference-sf6-and-environment,1st International Conference on SF6 and the Environment ...,"The Science of Global <b>Climate Change</b> and the Role of SF6, Jerry D. Mahlman, ... <br>
in Japan Masanari Meguro, Assistant Senior Manager, <b>Toshiba Corporation</b>&nbsp;..."
https://www.usnews.com/news/business/articles/2018-04-03/toshiba-ceo-promises-turnaround-in-5-years-beefed-up-ethics,"Toshiba CEO Promises Turnaround in 5 Years, Beefed up Ethics ...","... Toshiba CEO Promises Turnaround in 5 Years, Beefed up Ethics ... <b>Toshiba Corp</b><br>
., Chairman and CEO Nobuaki Kurumatani speaks during an ... Public health <br>
plays a minor role in <b>climate change</b> lawsuits, but researchers&nbsp;..."
https://www.engie.com/en/journalists/press-releases/stake-nugen-toshiba/,ENGIE to transfer its 40% stake in NuGen project to Toshiba | ENGIE,"... NuGen, the U.K.-based nuclear energy <b>company</b> that plans to build ... to a low-<br>
carbon economy: access to sustainable energy, <b>climate</b>-<b>change</b>&nbsp;..."
