url,title,text
http://www.reuters.com/article/us-volkswagen-emissions-culture-idUSKCN0S40MT20151010,Fear and respect: VW's culture under Winterkorn | Reuters,"... ... some executives are declaring that the company needs to <b>change</b> its approach<br>
. “We have to streamline our processes,” <b>Volkswagen Group</b> of America ... a <br>
management style under Winterkorn that fostered a <b>climate</b> of fear,&nbsp;..."
http://www.dem.ri.gov/programs/air/vwsettle.php,Volkswagen Settlement- Rhode Island -Department of ...,"The Rhode Island Department of <b>Environmental</b> Management (the Department) <br>
invites you to participate in ... Background on <b>VW environmental</b> mitigation trust."
https://www.architecturaldigest.com/story/how-volkswagen-topped-toyota-become-worlds-biggest-carmaker,This is How Volkswagen Topped Toyota to Become the World's ...,"... <b>VW</b> currently makes 40 percent of its global vehicle sales in China, and sales <br>
increased by a ... 5 Ways Architecture Can Curb <b>Climate Change</b>."
http://www.mass.gov/ago/bureaus/eeb/the-environmental-protection-division/climate-change.html,Climate Change and Clean Air,"After admissions that <b>Volkswagen</b> installed software to cheat emissions tests .... <br>
<b>AG</b> Healey Remarks on <b>Climate Change</b> on March 29, 2016 links to PDF file."
https://www.iied.org/climate-change-research-group,Climate Change research group | International Institute for ...,"<b>Climate change</b> disproportionately affects the poorest people in the world. We <br>
work with policy and research partners to redress the balance by helping the <br>
poor&nbsp;..."
http://media.daimler.com/marsMediaSite/en/instance/ko/Environment.xhtml?oid=9265793,Environment - Daimler Global Media Site,"BMW Group, Daimler AG, Ford Motor Company and <b>Volkswagen Group</b> with .... <br>
for its outstanding efforts and exemplary transparency in tackling <b>climate change</b>,<br>
&nbsp;..."
https://europeansting.com/2017/03/15/vw-emissions-scandal-while-u-s-car-owners-are-vindicated-europe-still-unable-to-change-its-laws-and-protect-its-consumers/,VW emissions scandal: While U.S. car owners are vindicated ...,"... However, <b>VW</b> still denies compensating European car owners .... <b>VW</b> diesel <br>
scandal and <b>climate change</b>: can increased independent car&nbsp;..."
http://annualreport2017.volkswagenag.com/group-management-report/sustainable-value-enhancement/sustainability.html,Sustainability - Volkswagen Group Annual Report 2017,"The <b>Volkswagen Group</b> is committed to sustainable, transparent and ... an <br>
international crisis prevention initiative as a result of <b>climate change</b> and an <br>
academic&nbsp;..."
https://www.erneuerbar-mobil.de/sites/default/files/2016-08/141007_Broschuere_ENGL_BMU_2014_WEB-barrierefrei.pdf,Renewably mobile: Marketable solutions for climate-friendly electric ...,"page 21 Triad Berlin/shutterstock, page 22 Kiefermedia/<b>Volkswagen AG</b>, page 23 <br>
Rockwood Lithium ..... <b>climate change</b>, <b>global warming</b> needs to be restricted."
https://b8f65cb373b1b7b15feb-c70d8ead6ced550b4d987d7c03fcdd1d.ssl.cf3.rackcdn.com/cms/guidance_docs/pdfs/000/000/494/original/Companies-requested-to-participate-investor-programs.pdf?1480613499,full list of companies in our investor samples,"... to respond to. CDP&#39;s <b>climate change</b>, forests and water security questionnaires <br>
for 2018. ... Contents. CDP <b>Climate Change</b> 2018 . ..... <b>Volkswagen AG</b>. Volvo."
