url,title,text
https://www.ucsusa.org/global-warming/fight-misinformation/decades-deception-must-stop,Hold Corporations Accountable for Climate Deception | Union of ...,"While other oil and gas companies have left ALEC, citing its position as <b>climate</b> <br>
<b>change</b> as the reason, <b>Chevron</b> continues to fund and take on leadership&nbsp;..."
http://www.climatechangenews.com/2016/12/08/exxon-chevron-face-philippines-climate-change-probe/,"Exxon, Chevron face Philippines climate change probe","Exxon, <b>Chevron</b> face Philippines <b>climate change</b> probe. Published on 08/12/<br>
2016, 12:13pm. Hearings by the country&#39;s Human Rights Commission will target<br>
&nbsp;..."
https://blog.ucsusa.org/kathy-mulvey/chevron-denies-climate-risk-to-shareholders-while-supporting-the-spread-of-climate-disinformation,Chevron Denies Climate Risk to Shareholders While Supporting the ...,"... Unfortunately for investors concerned about <b>climate change</b>, this major ... The <br>
Board asserts that <b>Chevron&#39;s</b> report “Managing <b>Climate Change</b>&nbsp;..."
https://www.triplepundit.com/2017/05/investors-ngos-pressure-chevron-climate-change-risks-transparency/,Investors and NGOs Pressure Chevron on Climate Change Risks ...,"... <b>Chevron</b>, <b>climate change</b>, climate action, shareholder proposals, shareholder <br>
resolutions, corporate governance Chevron offices in Houston."
https://thinkprogress.org/chevron-admits-climate-lawsuits-threaten-profits-33937dd562fd/,Chevron is first oil major to warn investors of risks from climate ...,"... A <b>Chevron</b> gas station in Sacramento, California last July. CREDIT: ... As the <br>
speed of human-caused <b>climate change</b> picks up, as it becomes&nbsp;..."
http://www.desmog.co.uk/2016/03/12/shell-and-chevron-two-oil-giants-two-very-different-approaches-climate-change,Shell and Chevron: Two Oil Giants With Two Very Different ...,"... This week saw two oil companies take two very different approaches to <b>climate</b> <br>
<b>change</b>. One has recognised the impact that global efforts to cut&nbsp;..."
http://www.mcclatchydc.com/news/nation-world/national/article206291454.html,Oil industry lawyer emphasizes climate change 'uncertainties' in ...,"... Federal court hearing Wednesday foreshadows how <b>Chevron</b>, oil ... the oil giants <br>
conspired to mislead the public about <b>climate change</b>."
https://www.marketwatch.com/story/shareholders-reject-climate-change-stress-tests-for-chevron-exxon-2016-05-25,"Shareholders reject climate-change stress tests for Chevron, Exxon ...","... Shareholders at Exxon Mobil Corp. and <b>Chevron</b> Corp. narrowly voted down <br>
resolutions calling for stress tests to determine the risk that efforts&nbsp;..."
https://www.climateliabilitynews.org/2018/02/03/chevron-climate-liability-california-statoil/,Chevron wants more companies blamed in climate liability cases,"... <b>Chevron</b> Corp., one of the defendants in a batch of <b>climate change</b> nuisance <br>
lawsuits by communities in California, contends that the suits are&nbsp;..."
https://www.washingtonpost.com/news/energy-environment/wp/2018/01/10/new-york-city-sues-shell-exxonmobil-and-other-oil-majors-over-climate-change/,"New York City sues Shell, ExxonMobil and other oil companies over ...","... The suit, filed Tuesday against BP, <b>Chevron</b>, Conoco-Phillips, ExxonMobil ... <br>
<b>Climate change</b> “is a complex societal challenge that should be&nbsp;..."
