company,url,title,extract,content
Georgia Pacific,https://thinkprogress.org/report-how-koch-industries-makes-billions-by-demanding-bailouts-and-taxpayer-subsidies-part-1-6c9653356142/,REPORT: How Koch Industries Makes Billions By Demanding ...,"... ... ads against Democrats, to groups promoting <b>climate change</b> denial, ... For <br>
instance, <b>Georgia Pacific</b>, a timber company subsidiary of Koch&nbsp;...","<HTML lang=""en-US"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY class=""post-template-default single single-post postid-143481 single-format-standard sidebar-off sticky-share""><DIV id=""wrap-site"" class=""wrap-site""><DIV id=""page"" class=""hfeed site pushable""><DIV id=""content"" class=""content-site""><DIV id=""primary"" class=""content-area""><MAIN id=""main"" class=""site-main"" role=""main""><ARTICLE id=""post-143481"" class=""post-143481 post type-post status-publish format-standard has-post-thumbnail hentry category-news tag-economy""><UL id=""share"" class=""share""><LI class=""share__trigger""><A href=""#"" class=""icon-share""><SPAN class=""label"">Share</SPAN></A></LI></UL><DIV class=""article-content__wrapper""><DIV class=""article-content""><DIV class=""post__content""><P>Koch Industries, the international conglomerate owned by Charles and David Koch, is not only the second largest private company in America, it is the most politically active. As ThinkProgress has carefully documented over the last three years, Koch groups have spent tens of millions to influence government policy—from <A href=""http://thinkprogress.org/2011/01/06/koch-teaparty-us/"" rel=""noopener"" target=""_blank"">financing</A> the Tea Parties, to funding <A href=""http://thinkprogress.org/2010/09/27/koch-mine-safety/"" rel=""noopener"" target=""_blank"">junk academic</A> studies, to undisclosed <A href=""http://thinkprogress.org/2010/10/20/beck-koch-chamber-meeting/"" rel=""noopener"" target=""_blank"">attack ads</A> against Democrats, to <A href=""http://www.greenpeace.org/usa/en/campaigns/global-warming-and-energy/polluterwatch/koch-industries/"" rel=""noopener"" target=""_blank"">groups</A> promoting <mark>climate change</mark> denial, to a large network of state-based and national think tanks. In an <A href=""http://online.wsj.com/article/SB10001424052748704288304576170974226083178.html"" rel=""noopener"" target=""_blank"">opinion column</A> for the Wall Street Journal today, Koch Industries CEO Charles Koch fired back at his critics, who have grown more vocal as it has become clear that Koch groups are providing the political muscle for Gov. Scott Walker’s (R-WI) union-busting power grab.</P><P>In his piece, Charles portrays himself as simply an ideological advocate, and says his money to political groups is only meant to “enhance true economic freedom.” He chides special interests that have “successfully lobbied for special favors,” claiming “crony capitalism is much easier than competing in an open market.” But in reality, the focus of the Koch political machine is geared towards “crony capitalism”—corrupting government to make Charles and his brother David Koch richer. Koch’s Tea Party libertarianism is actually a thin veneer for the company’s long running history of winning special deals from the government and manipulating the market to pad Koch profits:</P><BLOCKQUOTE name=""8d68"" id=""8d68"" class=""graf graf--blockquote graf-after--p""><P>— The <A href=""http://www.youtube.com/watch?v=WYKzVUCT-BI"" rel=""noopener"" target=""_blank"">dirty secret</A> of Koch Industries is its birth under the centrally-planned Soviet Union. <STRONG>Fred Koch, the founder of the company and father of David and Charles, helped construct </STRONG><A href=""http://exiledonline.com/a-peoples-history-of-koch-industries-how-stalin-funded-the-tea-party-movement/"" rel=""noopener"" target=""_blank""><STRONG>fifteen oil refineries</STRONG></A><STRONG> for Joseph Stalin before expanding the business in the United States.</STRONG></P></BLOCKQUOTE><BLOCKQUOTE name=""66b1"" id=""66b1"" class=""graf graf--blockquote graf-after--blockquote""><P>— As Yasha Levine has <A href=""http://www.observer.com/2010/slideshow/131739/logging"" rel=""noopener"" target=""_blank"">reported</A>, <STRONG>Koch exploits a number of government programs for profit</STRONG>. For instance, <mark>Georgia Pacific</mark>, a timber company subsidiary of Koch Industries, uses taxpayer money provided by the U.S. Forestry Service to provide their loggers with taxpayer-funded roads and access to virgin growth forests. “Logging companies such as Georgia-Pacific strip lands bare, destroy vast acreages and pay only a small fee to the federal government in proportion to what they take from the public,”<A href=""http://www.accuracy.org/release/1169-scrutinizing-the-koch-deal-to-buy-georgia-pacific/"" rel=""noopener"" target=""_blank"">according</A> to the Institute for Public Accuracy. Levine also <A href=""http://www.observer.com/2010/slideshow/131739/ranching"" rel=""noopener"" target=""_blank"">notes</A> that Koch’s cattle ranching company, Matador Cattle Company, uses a New Deal program to profit off federal land for free.</P></BLOCKQUOTE><BLOCKQUOTE name=""acf4"" id=""acf4"" class=""graf graf--blockquote graf-after--blockquote""><P>—<STRONG>Koch Industries won massive government contracts using their close relationship with the Bush administration</STRONG>. The Bush administration, in a deal even conservatives <A href=""http://docs.google.com/viewer?a=v&amp;q=cache:teHULk2IzRcJ:www.channelingreality.com/Temp_Dir/Reason_Koch/Koch%2520Oil.pdf+petroleum+reserve+koch+marc+morano&amp;hl=en&amp;gl=us&amp;pid=bl&amp;srcid=ADGEESgYt6gb0dX_2jA_s2GEbnVzIjCuTpg2TiZClBWcsgZLeb2cScJcT8sZfeaPelIa0wZ2ijbgfV-eCJN-Lam9i9N5XyMdf00NXfkppQbY1Ib94OQObaEXsvFJT8P5nrach3BexV9i&amp;sig=AHIEtbReusDjZTpxcQXZ5kAhlYvf_zwjpQ"" rel=""noopener"" target=""_blank"">alleged</A> was a quid pro quo because of Koch’s campaign donations, handed Koch Industries a <A href=""http://www.fossil.energy.gov/news/techlines/2002/tl_spr_rik2002_koch.html"" rel=""noopener"" target=""_blank"">lucrative contract</A> to supply the nation’s Strategic Petroleum Reserve with 8 million barrels of crude oil. The SPR deal, done initially in 2002, was <A href=""http://www.fossil.energy.gov/news/techlines/2004/tl_spr_rik2004_sel.html"" rel=""noopener"" target=""_blank"">renewed</A> in 2004 by Bush administration officials. During the occupation of Iraq, Koch won <A href=""http://goliath.ecnext.com/coms2/gi_0199-799862/Iraq-Aims-to-Raise-Term.html"" rel=""noopener"" target=""_blank"">significant contracts</A> to buy Iraqi crude oil.</P></BLOCKQUOTE><BLOCKQUOTE name=""6b86"" id=""6b86"" class=""graf graf--blockquote graf-after--blockquote""><P>— Although Koch campaigned vigorously against health reform—running <A href=""http://www.sourcewatch.org/index.php?title=Americans_for_Prosperity"" rel=""noopener"" target=""_blank"">attack ads</A>,<A href=""http://thinkprogress.org/2009/11/05/david-koch-astroturf/"" rel=""noopener"" target=""_blank""> sponsoring</A> anti-health reform Tea Parties, and <A href=""http://yglesias.thinkprogress.org/2009/08/americans-for-prosperity-compares-health-care-reform-to-holocaust/"" rel=""noopener"" target=""_blank"">comparing</A> health reform to the Holocaust—<STRONG>Koch Industries </STRONG><A href=""http://thinkprogress.org/2010/08/31/koch-reinsurance/"" rel=""noopener"" target=""_blank""><STRONG>applied</STRONG></A><STRONG> for health reform subsidies made possible by the Obama administration.</STRONG></P></BLOCKQUOTE><BLOCKQUOTE name=""072a"" id=""072a"" class=""graf graf--blockquote graf-after--blockquote""><P>— The Koch brothers have claimed that they oppose government intervention in the market, but Koch Industries lobbies aggressively for taxpayer handouts. In Alaska, blogger Andrew Halcro <A href=""http://www.andrewhalcro.com/permafrost_friday_the_kochtopus_in_alaska"" rel=""noopener"" target=""_blank"">reported</A> that a Koch subsidiary in Fairbanks <STRONG>asked Gov. Sarah Palin’s administration to use taxpayer money to bail out one of their failing refinery</STRONG>.</P></BLOCKQUOTE><BLOCKQUOTE name=""6733"" id=""6733"" class=""graf graf--blockquote graf-after--blockquote""><P>— Solve<mark>Climate</mark> recently <A href=""http://www.reuters.com/article/2011/02/10/idUS292515702420110210"" rel=""noopener"" target=""_blank"">reported</A> that Koch Industries will reap huge profits from the proposed Keystone XL Pipeline, which runs from Koch-owned tar sands mining centers in Canada to Koch-owned refineries in Texas. <STRONG>To build the pipeline, politicians throughout the Midwest, many of whom have received large Koch campaign donations, have used </STRONG><A href=""http://www.montrealgazette.com/business/KEYSTONE+COSTLY+KANSAS/4286259/story.html"" rel=""noopener"" target=""_blank""><STRONG>eminent domain</STRONG></A><STRONG>—government seizures of private land.</STRONG> In Kansas, where Koch-funded officials advise Gov. Sam Brownback (R-KS) and the Republican legislature, the Keystone XL Pipeline is likely to receive a property tax exemption of ten years, a <A href=""http://www.kansascity.com/2011/02/13/2653195/complaints-and-concerns-flow-about.html"" rel=""noopener"" target=""_blank"">special loophole</A> that will cost Kansas taxpayers about $50 million.</P></BLOCKQUOTE><BLOCKQUOTE name=""4be2"" id=""4be2"" class=""graf graf--blockquote graf-after--blockquote""><P>— Koch Industries has been the recipient of about <A href=""http://www.usaspending.gov/search?query=&amp;searchtype=&amp;formFields=eyJSZWNpcGllbnROYW1lTGNhc2UiOlsiS29jaCBJbmR1c3RyaWVzICBJbmMuIl19"" rel=""noopener"" target=""_blank"">$85 million</A> in federal government contracts mostly from the Department of Defense. <STRONG>Koch also benefits directly from billions in taxpayer subsidies for oil companies and ethanol production.</STRONG></P></BLOCKQUOTE><P>Charles has compared himself to a libertarian “Martin Luther,” evangelizing to the world for their supply side cause. However, the tens of millions in campaign donations and the dozens of front groups funded by Koch work in tandem to promoting the business interests of Koch Industries.</P><DIV class=""ad-wrapper"" data-slot=""0""><DIV class=""ad-label"">Advertisement</DIV></DIV><P>Koch funds both <A href=""http://thinkprogress.org/politics/2010/10/27/126586/kerpen-afp-thinkprogress/"" rel=""noopener"" target=""_blank"">socially </A><A href=""http://www.greenpeace.org/usa/en/campaigns/global-warming-and-energy/polluterwatch/koch-industries/the-heritage-foundation/"" rel=""noopener"" target=""_blank"">conservative</A> groups and socially liberal groups. However, Koch’s financing of front groups and political organizations all have one thing in common: every single Koch group attacks workers’ rights, promotes deregulation, and argues for radical supply side economics. Not only do the Koch’s front groups pad Koch Industries’ bottom line, they supply the Koch brother’s talking points. In fact, for his opinion piece today, Charles heavily relied on front groups he finances for statistics. The “<A href=""http://www.washingtonmonthly.com/archives/individual/2011_01/027540.php"" rel=""noopener"" target=""_blank"">freedom index</A>” cited by Charles is a creation of the <A href=""http://www.greenpeace.org/usa/en/campaigns/global-warming-and-energy/polluterwatch/koch-industries/the-heritage-foundation/"" rel=""noopener"" target=""_blank"">Koch-funded</A> Heritage Foundation, and the <A href=""http://www.cbpp.org/cms/index.cfm?fa=view&amp;id=3261"" rel=""noopener"" target=""_blank"">erroneous</A>“unfunded liabilities” claim was <A href=""http://www.ncpa.org/pub/ba662"" rel=""noopener"" target=""_blank"">supplied</A> by the <A href=""http://www.greenpeace.org/usa/en/campaigns/global-warming-and-energy/polluterwatch/koch-industries/national-center-for-policy-ana/"" rel=""noopener"" target=""_blank"">Koch-funded</A> National Center for Policy Analysis.</P></DIV></DIV></DIV></ARTICLE></MAIN></DIV></DIV></DIV></DIV></BODY></HTML>"
Georgia Pacific,https://www.tandfonline.com/doi/full/10.1080/19425120.2016.1223231,Historical Diets of Forage Fish and Juvenile Pacific Salmon in the ...,"... The abundance of <b>Pacific</b> Herring in the Strait of <b>Georgia</b> has also ...... of salmon <br>
abundance and the linkage to climate and <b>climate change</b>.","<HTML lang=""en"" class=""pb-page"" data-request-id=""9f0b7568-5f93-44e7-8755-01c13ff0bb20"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY class=""pb-ui""><DIV id=""pb-page-content"" data-ng-non-bindable=""""><DIV data-pb-dropzone=""main"" data-pb-dropzone-name=""Main""><DIV class=""widget pageFooter none  widget-none  widget-compact-all"" id=""d97c173f-d838-4de1-bbd7-ed69f0d36a91""><DIV class=""wrapped ""><DIV class=""widget-body body body-none  body-compact-all""><FOOTER class=""page-footer""><DIV data-pb-dropzone=""main""><DIV class=""widget responsive-layout none  widget-none  widget-compact-horizontal"" id=""8d803f96-081d-4768-ab7d-280a77af723b""><DIV class=""wrapped ""><DIV class=""widget-body body body-none  body-compact-horizontal""><DIV class=""container""><DIV class=""row row-sm  ""><DIV class=""col-sm-3-4 ""><DIV class=""contents"" data-pb-dropzone=""contents0""><DIV class=""widget general-html none footer-info-container widget-none  widget-compact-vertical"" id=""b247ecb9-84c9-4762-b270-20f8be1f0ae4""><DIV class=""wrapped ""><DIV class=""widget-body body body-none  body-compact-vertical""><DIV class=""informa-group-info""><SPAN>Copyright © 2018 Informa UK Limited</SPAN><SPAN><A href=""/privacy-policy"">Privacy policy &amp; cookies</A></SPAN><SPAN><A href=""/terms-and-conditions"">Terms &amp; conditions</A></SPAN><SPAN><A href=""/accessibility"">Accessibility</A></SPAN><P>Registered in England &amp; Wales No. 3099067
5 Howick Place | London | SW1P 1WG</P></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></FOOTER></DIV></DIV></DIV></DIV></DIV></BODY></HTML>"
Georgia Pacific,https://www.greenclimate.fund/-/scaling-up-multi-hazard-early-warning-system-and-the-use-of-climate-information-in-georgia,FP068 Georgia Scaling-up Multi-Hazard Early Warning System and ...,"... <b>Georgia</b> faces <b>climate change</b>-related risks including landslides, ... Asia <b>Pacific</b> ... <br>
Ministry of Environment Protection and Agriculture <b>Georgia</b>.","<HTML class=""gcf aui ltr"" dir=""ltr"" lang=""en-GB"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY class="" yui3-skin-sam guest-site signed-out public-page site controls-hidden sub bg-bleed group-ventures pagetitle-none"" id=""pjt-itm-01""><DIV class=""wrapper""><MAIN id=""content""><DIV class=""columns-1"" id=""main-content"" role=""main""><DIV class=""portlet-layout row-fluid""><DIV class=""portlet-column portlet-column-only span12"" id=""column-1""><DIV class=""portlet-dropzone portlet-column-content portlet-column-content-only"" id=""layout-column_column-1""><DIV class=""portlet-boundary portlet-boundary_101_ portlet-static portlet-static-end portlet-asset-publisher "" id=""p_p_id_101_INSTANCE_uEs5v0a2r1dH_""><SECTION class=""portlet"" id=""portlet_101_INSTANCE_uEs5v0a2r1dH""><DIV class=""portlet-content""><DIV class="" portlet-content-container""><DIV class=""portlet-body""><DIV><DIV class=""asset-full-content default-asset-publisher no-title""><DIV class=""asset-content"" id=""_101_INSTANCE_uEs5v0a2r1dH_1043766""><DIV class=""journal-content-article""><DIV class=""row-fluid""><DIV class=""span9""><ARTICLE class=""project project-status- type-adaptation"" data-project-type=""adaptation""><DIV class=""project-tab""><DIV class=""tab-content""><SECTION class=""tab-pane active"" id=""summary""><SPAN class=""one-liner"">Scaling-up Multi-Hazard Early Warning System and the Use of <mark>Climate</mark> Information in Georgia</SPAN><SPAN class=""entity entity-key"">Approved</SPAN><SPAN class=""entity entity-value"">February 2018</SPAN><SPAN class=""entity entity-key"">Est. implementation period</SPAN><SPAN class=""entity entity-value""> 7.0 years </SPAN><DIV class=""html-editable""><STRONG>Reducing the <mark>climate</mark> risk to Georgia's communities by supporting infrastructure and their livelihoods.</STRONG> Georgia faces <mark>climate change</mark>-related risks including landslides, mudflows, erosion, avalanches, floods, drought, and strong winds. These are increasing in frequency, intensity and geographical spread due to <mark>climate change</mark>. Subsequently, the need for robust <mark>climate</mark> information and early warning has become a priority in managing risk to Georgia's <mark>sustainable</mark> development. The expansion of a hydro-meteorological observation network and modelling capacities will provide reliable information on <mark>climate</mark>-induced hazards, vulnerability and risks. Specifically, the scaling up of Georgia's Multi-Hazard Early Warning System will improve community resilience. Robust <mark>climate</mark> information has been shown to reduce considerable costs. The project has an estimated lifespan of 7 years.</DIV></SECTION><SECTION class=""tab-pane"" id=""documents""><TABLE class=""res-table""><THEAD><TR><TH>Document title</TH></TR></THEAD></TABLE></SECTION></DIV></DIV></ARTICLE></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></SECTION></DIV></DIV></DIV></DIV></DIV></MAIN></DIV></BODY></HTML>"
