company,url,title,extract,content
ThyssenKrupp Stahl,https://capitalford.com/x-plan-partner-program,Ford X-Plan Partner Program,"Ford X-plan Business Partners are subject to <b>change</b>. ... Adidas; Adrian <b>Steel</b> <br>
Company; Advance Auto Parts; Advance Publications; Advanced Medical ..... <br>
Haldex Brake Products Corporation; Halla <b>Climate</b> Control Canada, Inc.**; <br>
Halliburton ..... <b>Thyssen</b> Elevator Company**; <b>Thyssen</b> Krupp Krause Inc. <br>
<b>ThyssenKrupp</b> USA&nbsp;...","<HTML lang=""en"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY><DIV class=""container""><DIV class=""internal-container""><DIV class=""row""><H2 class=""text-center"">Ford X-Plan Partner Program</H2></DIV><DIV class=""row text-center""><DIV class=""col-md-12""><H2>Ford X-Plan Partner Employees!</H2><P>The New Vehicle Purchase Program (X-Plan) also known as the <I>Partner Recognition Program</I>, is offered by Ford Motor Company to the employees, retirees, spouses and other household members (driver's license required for proof of residency) of selected Tier 1 suppliers, business partners, fleet partners and special organizations having a unique relationship with the Ford Motor Company.</P><H2>Below are our participating business partners!</H2><H5>Ford X-plan Business Partners are subject to change. Contact your businesses Human Resource Department for plan eligibility.</H5><DIV class=""frame-box center-block""><UL><LI>1-800-Flowers.com</LI><LI>A. Teichert and Son, Inc.**</LI><LI>A.J. Rose Manufacturing</LI><LI>Aamity Car &amp; Truck Rental, LLC</LI><LI>Abbott Laboratories, USA</LI><LI>Big 3 Precision Products, Inc,</LI><LI>Big Lots</LI><LI>Black and Decker U.S., Inc</LI><LI>Blake, Cassels and Graydon LLP**</LI><LI>Blanchard Valley Health</LI><LI>Blue Cross Blue Shield Kansas City</LI><LI>Blue Cross Blue Shield of OK</LI><LI>Blue Diamond Almond Growers</LI><LI>Brashers Salt Lake Auto Auction</LI><LI>Braun Intertec</LI><LI>CC Metals and Alloys LLC</LI><LI>CDI</LI><LI>California, Berkeley (Univ of) Faculty</LI><LI>Call Henry, Inc</LI><LI>Clegg's Termite and Pest Control</LI><LI>Cleveland Brothers Equipment Co.</LI><LI>Conestoga Rovers and Associates (CRA)</LI><LI>Conoco Phillips</LI><LI>Consolidated Edison of New York</LI><LI>Consolidated Electrical Distributors</LI><LI>Dealers Auto Auction of OKC, Inc.</LI><LI>Dealers Group, Ltd.</LI><LI>Detroit Mercy (University of) Faculty</LI><LI>Detroit Symphony Orchestra</LI><LI>Dixien LLC (Dixie Numerics LLC)</LI><LI>Dobson Communication Corporation</LI><LI>Eat'n Park Hospitality Group, Inc</LI><LI>Eaton Corporation</LI><LI>Emerson Network Power Systems America</LI><LI>Emkay</LI><LI>Federal Broach &amp; Machine Company, LLC.</LI><LI>Federal Coach</LI><LI>First Data Corp Western Union**</LI><LI>First Energy</LI><LI>Florida Pest Control &amp; Chemical Co</LI><LI>Florida Power &amp; Light</LI><LI>Ford Office of General Counsel</LI><LI>Forest Pharmaceuticals</LI><LI>Fosters Wine Estates Americas Co</LI><LI>Fox Studios</LI><LI>Fresenius - National Medical Care, Inc.</LI><LI>Fresh Express</LI><LI>General Trk Bodies Mfg. Co.</LI><LI>Genesys Hospital</LI><LI>Genie Industries and Manufacturing, Inc.</LI><LI>Gentex Corporation</LI><LI>Georgia Insitiute of Technology Faculty</LI><LI>Georgia Pacific</LI><LI>Glenn A Davis &amp; Associates, Ltd.**</LI><LI>Global Automotive Systems</LI><LI>Goodyear Tire and Rubber Company</LI><LI>Google, Inc</LI><LI>Grey Wolf Drilling Company, LP</LI><LI>Grimmway Enterprises</LI><LI>H &amp; H Sales Co Inc</LI><LI>H&amp;M, Hennes and Mauritz LP</LI><LI>H. J. Heinz**</LI><LI>Halla <mark>Climate</mark> Control Canada, Inc.**</LI><LI>Halliburton</LI><LI>Hamburg Sud North America, Inc</LI><LI>Hankook Tire America Corp**</LI><LI>Harada Industry of America, Inc.</LI><LI>Harbor Truck Bodies</LI><LI>Health Alliance Plan of MI</LI><LI>Health Care <mark>INNOVATION</mark>S</LI><LI>Health Management Systems of America</LI><LI>Health Partners Inc.</LI><LI>Hertz Rent a Car - Licensee</LI><LI>Herzog Contracting Corporation</LI><LI>Hitachi Automotive Products usa Inc.</LI><LI>Hitachi High Technologies America</LI><LI>Horizon Blue Cross Blue Shield</LI><LI>Horton Emergency Vehicles</LI><LI>I E Miller Service LP</LI><LI>IAC</LI><LI>Industrial Hose and Hydraulics, Ltd.**</LI><LI>Industrial Metal Products Corp.</LI><LI>Ispat Inland or Mittal Steel</LI><LI>Iteris, Inc.</LI><LI>J. Fletcher Creamer &amp; Son, Inc.</LI><LI>J. H. Bennett and Company, Inc.</LI><LI>J. Walter Thompson</LI><LI>Jackson Hewitt Tax Service, Inc</LI><LI>Jacobs Industries, Inc.</LI><LI>John Hancock Life Insurance Company</LI><LI>John R Jurgensen Company</LI><LI>Kellogg Brown and Root, LLC</LI><LI>Kelly Services</LI><LI>Kik Customer Products / Kem Krest</LI><LI>Kimberly-Clark Corporation</LI><LI>Konica Minolta Business Solutions USA</LI><LI>Konica Minolta Graphic Imaging USA, Inc.</LI><LI>Koppers Inc.</LI><LI>Lesco Design &amp; Mfg Co. Inc.</LI><LI>Level 3</LI><LI>Lott Industries/Lucas County Board MRDD</LI><LI>Louisville Gas &amp; Electric</LI><LI>M I Ford Tractor &amp; Engine Company, Inc.</LI><LI>M Plan (THCG)</LI><LI>M and S Manufacturing Company</LI><LI>M-Tek Inc.</LI><LI>MIT Office of Corp. Relations</LI><LI>MNP Corporation</LI><LI>Mechanical Services of Central FL</LI><LI>Medco Health Solutions</LI><LI>Michigan Ann Arbor (University) Faculty</LI><LI>Michigan Arc Products, Inc.</LI><LI>Minnesota Power and Light an ALLETE Comp</LI><LI>Mission Linen Supply</LI><LI>Morris, Nichols, Arsht and Tunnell LLP</LI><LI>Morton Buildings</LI><LI>Muhr Und Bender KG - Mubea</LI><LI>Multi-Chem Group, LLC</LI><LI>NGK Spark Plug Company Ltd.</LI><LI>NLB Corporation</LI><LI>National Council of La Raza</LI><LI>National Equipments Services, Inc.</LI><LI>National Society of Hispanic MBAs</LI><LI>National Steel Constructors</LI><LI>New Mexico (University of) Faculty</LI><LI>New Seabury Properties LLC</LI><LI>New York State United Teacher</LI><LI>Newcor, Inc.</LI><LI>North Carolina A &amp; T State Univ Faculty</LI><LI>NorthWestern Corporation</LI><LI>Northern CA Carpenters Regional Council</LI><LI>Northern Engraving Corporation</LI><LI>Old Dominion Freight Line, Inc.**</LI><LI>Olympic Steel, Inc.</LI><LI>Operating Engineers Local Union #3</LI><LI>Opus Corp</LI><LI>Orient Oversea Container Line Inc (Oocl)</LI><LI>Orscheln Products, LLC.</LI><LI>PNM - Public Service Comp. of New Mexico</LI><LI>PPG Industries, Inc.</LI><LI>Panasonic Corporation of North America</LI><LI>Panduit Corporation</LI><LI>Pressed Steel Tank Company, Inc.</LI><LI>Prestige Stamping, Inc.</LI><LI>Production Services Network USA, Inc.</LI><LI>Professional Bull Riders, Inc.</LI><LI>Public Service Electric &amp; Gas Company</LI><LI>Public Storage</LI><LI>RIETER AUTOMOTIVE SYSTEMS NORTH AMERICA</LI><LI>RLE International</LI><LI>Red Man Pipe &amp; Supply Co</LI><LI>Reddy Ice</LI><LI>Roman Catholic Arch Diocese of Boston</LI><LI>Roncelli, Inc.</LI><LI>Saia Motor Freight Line Inc.</LI><LI>Saint Gobain</LI><LI>Severn Trent Environmental Services, Inc.**</LI><LI>Severstal North America</LI><LI>Skadden, Arps, Slate, Meagher and Flom</LI><LI>Skanska USA Civil</LI><LI>Soaring Eagle Casino and Resort</LI><LI>Sodexho</LI><LI>Southwest Water Company Service Group</LI><LI>Southworth-Milton dba Milton Cat</LI><LI>Spartan Light Metal Products, Inc.</LI><LI>Spartan Motors, Inc.</LI><LI>St. John Oakland Hospital System</LI><LI>Stahl</LI><LI>Stephen F Austin State University</LI><LI>Stewart Enterprises</LI><LI>Texas A &amp; M Univerisity Faculty</LI><LI>Texas Farm Bureau</LI><LI>The Brown Corp - Midwest Stamping Plant</LI><LI>The Cessna Aircraft Company</LI><LI>The Great Atlantic &amp; Pacific Tea Company</LI><LI>The Hartford</LI><LI>The National Lime &amp; Stone Co</LI><LI>The New York Times Company</LI><LI>The Pape Group, Inc.</LI><LI>The Susan G. Komen Breast Cancer Foundat</LI><LI>The Thomson Corporation</LI><LI>The Wesbell Group of Companies, Inc.**</LI><LI>The Williams Company</LI><LI>Total Electric Service &amp; Supply Co.</LI><LI>Total Filtration Services</LI><LI>UniCare Life and Health Insurance Comp.</LI><LI>Unicell Body Company**</LI><LI>University of Texas System Admin.</LI><LI>University of Washington</LI><LI>Valiant Machine &amp; Tool Co. Ltd.</LI><LI>Valley Crest</LI><LI>Volvo Penta of the Americas, Inc.</LI><LI>Voyale Corporation</LI><LI>W. L. Gore &amp; Associates, Inc.</LI><LI>W.S. Badcock Corp.</LI></UL></DIV></DIV></DIV><FORM class=""row streakform""><DIV class=""col-sm-offset-3 col-sm-6""><H4 class=""text-center"">Tell us where you work to see if you are eligible</H4><DIV class=""form-group""><LABEL class=""control-label"" for=""first_name"">First Name:</LABEL></DIV><DIV class=""form-group""><LABEL class=""control-label"" for=""company"">Where I work (Company Name):</LABEL></DIV><BUTTON value=""submit"" class=""btn btn-primary btn-block"">Submit</BUTTON></DIV></FORM><DIV class=""row""><DIV class=""col-md-12""><H3>1. OVERVIEW</H3><P>The New Vehicle Purchase Program (X-Plan) also known as the Partner Recognition Program, is offered by Ford Motor Company to the employees, retirees, spouses and other household members (driver's license required for proof of residency) of selected Tier 1 suppliers, business partners, fleet partners and special organizations having a unique relationship with the Ford Motor Company. Participation in the program is contingent on the Partner Company's continued relationship with Ford Motor Company and will stay in effect until terminated by either party upon a thirty (30) days prior written notice provided to the other party. Ford Motor Company may terminate this program upon thirty (30) days notice at its respective sole discretion.</P><H3>2. PROGRAM DESCRIPTIONS AND ELIGIBILITY</H3><P>X-Plan</P><P>Partner Recognition:</P><P>An eligible Partner Recognition employee or retiree may generate up to two (2) PINs per calendar year to be used towards the purchase/lease of a new vehicle for them or members of their households as noted below (see PIN Generation for details):</P><UL><LI><SPAN style=""font-style: italic;"">Employees (full time, part-time and contract), retirees and spouses of eligible Partner companies (suppliers, fleets, etc.) and members of specific organizations or groups.</SPAN></LI><LI><SPAN style=""font-style: italic;"">Residents of the same household as listed above(driver's license required for proof of residency).</SPAN></LI><LI><SPAN style=""font-style: italic;"">Participation is by invitation only as determined by Ford Motor Company. Not all suppliers, fleets, etc. are eligible.</SPAN></LI></UL><H3>3. PROOF OF ELIGIBILITY</H3><UL><LI><EM>For employees of eligible partner companies, you must provide a recent pay stub, company I.D., W-2 or company healthcare card. All are acceptable items to verify employment. (Note: business cards will not be accepted as proof of employment). The dealership must list the company or organization's name on the AXZD-Plan Pricing Agreement.</EM></LI><LI><EM>For residents in the same household as the eligible employee/retiree, driver's licenses' will be required for proof of residence.</EM></LI><LI><EM>For members of the EAA (Experimental Aircraft Association) only, membership cards must be used for proof of membership and should indicate 30-day minimum membership.</EM></LI><LI><EM>For members of the Disabled American Veterans Association only, membership cards must be used for proof of membership.</EM></LI><LI><EM>For members of the Society of Hispanic MBAs only, membership cards must be used for proof of membership.</EM></LI></UL><H3>4. PRODUCTS</H3><STRONG>Eligible Products</STRONG><UL><LI><EM>Current Ford model and prior model year vehicles sold in the United States See your local dealer for vehicle eligibility.</EM></LI><LI><EM>Vehicles may be ordered from production or, if the dealer agrees, may be selected from the inventory of the dealership. Dealers are not required to participate, but if they do, they must be an authorized Ford Motor Company dealer for the product sold and agree to abide by the New Vehicle Purchase Program guidelines set forth in this document.</EM></LI><LI><EM>New prior model year vehicles may be purchased or leased at X-Plan pricing from dealer stock only up to the date of &quot;final pay&quot; for Ford products only. See your selling dealer for details.</EM></LI><LI><EM>Dealer demonstrator units (no mileage restriction). No additional discount is permitted beyond incentives compatible with an X-Plan deal.</EM></LI></UL></DIV></DIV></DIV></DIV><DIV class=""FooterGrey""><DIV class=""container""><DIV class=""row""><DIV class=""col-xs-12""><DIV class=""vehicle-disclaimer text-center""><P class=""footer-disclaimer"">Price(s) include(s) all costs to be paid by a consumer. Price does not include dealer installed equipment or licensing costs, registration fees , $699 administrative fees, taxes and $99.99 Nitrofill technology. Vehicle inventory and promotional offers are updated frequently. Please note that all vehicles are subject to prior sale and promotional offers may be canceled without notice. By filling out this form, you authorize our dealership to call, text, or email you in the future.</P></DIV></DIV></DIV></DIV></DIV></BODY></HTML>"
ThyssenKrupp Stahl,http://www.engineeringnews.co.za/topic/scaw-metals-group,Topic - Scaw Metals Group,"15th September 2017 Specialty <b>steel</b> products integrated producer Scaw Metals <br>
Group&#39;s operation, Distribution Network, has extended its cooperation with lifting<br>
&nbsp;...","<HTML prefix=""og: http://ogp.me/ns#"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY class=""en-sans-serif""><DIV id=""main_wrapper""><DIV id=""wrapper""><DIV class=""container""><DIV class=""container_main""><DIV class=""container_inner""><DIV class=""container_inner_inner""><DIV class=""container-menu""><DIV class=""row""><DIV class=""span8""><DIV class=""outer-left""><DIV class=""inner-listing""><DIV class=""inner""><DIV class=""entry-list""><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/scaw-metals-partners-with-crosby-2017-07-10"">Scaw Metals partners with Crosby </A></H1><P><SPAN>By: <A href=""/author.php?u_id=1124"">Anine Kilian</A>     <STRONG>10th July 2017</STRONG></SPAN>
								
				Specialist steel manufacturer Scaw Metals Group’s Distribution Network has extended its cooperation with rigging extension manufacturer Crosby by adding Crosby platinum line Gr100 chain fittings to its product offering. The Crosby platinum line of chain fittings is a complete range of grade 100... <A href=""/article/scaw-metals-partners-with-crosby-2017-07-10"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/localised-metal-fatigue-weve-been-having-it-2016-07-01"">Localised metal fatigue: we’ve been having it</A></H1><P><SPAN>By: <A href=""/author.php?u_id=45"">Riaan de Lange</A>     <STRONG>1st July 2016</STRONG></SPAN>
								
				It is said that ‘metal fatigue’ is the progressive and localised structural damage that occurs when a material is subjected to cyclic loadings. The Encyclopaedia of Tribology defines ‘cyclic loading’ as the application of repeated or fluctuating stresses, strains or stress intensities to... <A href=""/article/localised-metal-fatigue-weve-been-having-it-2016-07-01"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/the-industry-of-steel-to-reboot-or-to-boot-2016-05-13"">The Industry of Steel  – to reboot or to boot?</A></H1><P><SPAN>By: <A href=""/author.php?u_id=45"">Riaan de Lange</A>     <STRONG>13th May 2016</STRONG></SPAN>
								
				“The Industry of Steel” - Reboot or Boot? Superman, now the intellectual property of DC Comics, debuted in June 1938, when it appeared on the cover of the Action Comics #1, having been published on April 18, 1938. If you should have a copy, it is worth more than $137 000. David Gonzalez recently... <A href=""/article/the-industry-of-steel-to-reboot-or-to-boot-2016-05-13"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/continued-infrastructure-development-essential-in-unlocking-africas-economic-growth-potential-2016-03-11"">Continued Infrastructure Development Essential In Unlocking Africa’s Economic Growth Potential</A></H1><P><SPAN><STRONG>11th March 2016</STRONG></SPAN>
								
				With infrastructure development playing a fundamental role in accelerating any country’s economic growth, governments’ spend on infrastructure development not only provides a stimulus to a country’s economic growth, but it can also crowd in private sector and foreign direct investment. This... <A href=""/article/continued-infrastructure-development-essential-in-unlocking-africas-economic-growth-potential-2016-03-11"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/labour-business-in-bid-to-stop-steel-jobs-bloodbath-2015-08-21"">Labour, business in bid to stop steel jobs bloodbath</A> </H1><P><SPAN>By: <A href=""/author.php?u_id=1164"">News24Wire  </A>     <STRONG>21st August 2015</STRONG></SPAN>
								
				Labour and business were scheduled to meet with government representatives in Pretoria on Friday in a bid to stem massive job losses the steel sector faces in the coming months. &quot;The meeting was requested by labour and business amidst the looming jobs loss bloodbath&quot; in the steel sector, said the... <A href=""/article/labour-business-in-bid-to-stop-steel-jobs-bloodbath-2015-08-21"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/scaw-to-retrench-1-000-workers-solidarity-claims-2015-08-05"">Scaw may retrench workers as it considers restructuring</A> </H1><P><SPAN>By: <A href=""/author.php?u_id=1105"">Natalie Greve</A>     <STRONG>5th August 2015</STRONG></SPAN>
								
				Steel product manufacturer Scaw Metals Group announced on Wednesday that the company was contemplating restructuring and had issued a notice in terms of Section 189A of the Labour Relations Act, which could result in a reduction in employee numbers. &quot;This unfortunate decision has been... <A href=""/article/scaw-to-retrench-1-000-workers-solidarity-claims-2015-08-05"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV><DIV class=""entry block-padded ""><H1 class=""en-serif ""><A href=""/article/local-steel-manufacturer-receives-global-certification-2015-02-27"">Local steel manufacturer receives global certification</A></H1><P><SPAN><STRONG>27th February 2015</STRONG></SPAN>
								
				Leading steel and steel products manufacturer Scaw Metals Group’s Cape Town branch in November received DNV accreditation from international certification body DNV-GL, certifying the company’s wire rope slings and attachments in accordance with DNV specification 2.7-1. DNV-GL is acknowledged as... <A href=""/article/local-steel-manufacturer-receives-global-certification-2015-02-27"" style=""text-decoration:none;""><SPAN class=""arrow"">→</SPAN></A></P></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></BODY></HTML>"
ThyssenKrupp Stahl,https://ga-institute.com/to-the-point/,G&A Institute's To The Point! – Timely Insights & Perspectives on ...,"As You Sow BlackRock Bloomberg CalPERS CDP Ceres Cisco <b>Climate Change</b> <br>
COP 21 Corporate Disclosure Corporate Governance Corporate Reporting&nbsp;...","<HTML lang=""en"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY><DIV id=""page""><HEADER class=""header""><NAV class=""navbar navbar-default""><DIV class=""container""><DIV class=""navbar-header""><DIV id=""navbar"" class=""navbar-collapse collapse""><UL id=""menu-header-menu"" class=""nav navbar-nav""><LI id=""nav-menu-item-323"" class=""main-menu-item  menu-item-even menu-item-depth-0 menu-item menu-item-type-custom menu-item-object-custom""><A href=""mailto:info@ga-institute.com"" class=""menu-link main-menu-link"">Contact</A></LI></UL></DIV></DIV></DIV></NAV></HEADER><SECTION id=""content""><DIV class=""container""><DIV class=""row""><DIV class=""col-sm-8""><DIV class=""left-part""><H3><B>Welcome to G&amp;A Institute’s </B><I><B>To The Point!</B></I><SUP>TM</SUP></H3><P>The team at Governance &amp; Accountability Institute monitor a wide range of news, trends, research and experts’ shared perspectives related to corporate governance, corporate responsibility, corporate citizenship, <mark>sustainable</mark> investing and related issues.</P><P>We regularly connect with many corporate managers and investment professionals to obtain information and intelligence as well as advice and shared learning experience</P><P>Leveraging our years of experience and deep expertise in the targeted issues and topic areas, we share our perspectives on things in our <I><B>To The Point!</B></I> briefs on a continuing basis.  These briefs are prepared as <I>educational sharings</I> for our corporate colleagues.</P><P>The subject matter we have in focus is of value across the business enterprise as well as for specific areas of responsibility, depending on the content.  This could include briefs of high interest for sustainability managers, CSR managers, investor relations officers, CEOs, CFOs, board members, corporate secretaries, legal professionals, managers of sourcing and supply chain, human resources staff, and others.  We encourage our colleagues to share the content with specific managers with responsibility for functions in focus.</P><P>Access to the <I><B>To The Point! </B></I>educational content is by subscription.  <A href=""https://ga-institute.com/to-the-point/subscriber-account/"">Click here for information and to subscribe.</A></P><H3>COMPLIMENTARY TRIAL ACCESS AVAILABLE FOR YOU</H3><P>We are offering complimentary trial subscriptions for our valued colleagues. <A href=""https://goo.gl/forms/X8EEYPLD3Qy1MAtB3"">Please complete the form here to request access.</A></P><P>If you have questions, please email us at <A href=""mailto:info@ga-institute.com"">info@ga-institute.com</A></P><P><SPAN style=""font-size: small;""><I>Governance &amp; Accountability Institute, Inc. is a private sector research, consulting and advisory company serving the corporate sector and professionals in the investment community.  For more information about the company, please visit <A href=""http://www.ga-institute.com"">www.ga-institute.com</A>.  </I></SPAN></P></DIV></DIV><DIV class=""col-sm-4""><DIV class=""login-part membership""><FORM method=""post"" action=""/to-the-point/""><H3>Subscribers Login</H3></FORM></DIV></DIV></DIV></DIV></SECTION></DIV></BODY></HTML>"
ThyssenKrupp Stahl,https://www.researchgate.net/journal/0340-4803_Stahl_und_Eisen,Stahl und Eisen | RG Impact Rankings (2017 and 2018),"<b>Stahl</b> und Eisen | Read articles with impact on ResearchGate, the professional <br>
network ... The article presents data on the <b>changes</b> in grain size and uniformity <br>
of the ... SMS group developed together with <b>thyssenkrupp Steel</b> Europe a <br>
concept for the ... reliability while protecting the <b>environment</b> by energy efficient <br>
solutions.","<HTML lang=""en"">
<style type=""text/css"">
A:before { content:' '; } 
A:after { content:' '; } 
SPAN:before { content:' '; } 
SPAN:after { content:' '; } 
</style>
<BODY><TITLE>Stahl und Eisen | RG Impact Rankings (2017 and 2018)</TITLE><DIV id=""page-container""><DIV id=""main"" class=""logged-out-header-support cols-60-40""><DIV id=""content"" class=""has-right-col""><DIV id=""rgw1_5b0277d20aaef"" class=""react-container""><DIV class=""notifications-wrapper"" data-reactroot=""""><DIV class=""c-col-content""><DIV class=""c-content""><DIV class=""journal-full-info""><H1 class=""nova-e-text nova-e-text--size-xxl nova-e-text--family-sans-serif nova-e-text--spacing-s nova-e-text--color-inherit"">Stahl und Eisen (STAHL EISEN)</H1><DIV class=""nova-e-text nova-e-text--size-s nova-e-text--family-sans-serif nova-e-text--spacing-l nova-e-text--color-inherit journal-full-info__meta"">Publisher: Verein Deutscher Eisenhüttenleute; Verein Deutscher Eisen- und Stahl-Industrieller. Nordwestliche Gruppe</DIV><H2 class=""nova-e-text nova-e-text--size-m nova-e-text--family-sans-serif nova-e-text--spacing-xs nova-e-text--color-inherit journal-full-info__description-title"">Journal description</H2><P class=""nova-e-text nova-e-text--size-m nova-e-text--family-sans-serif nova-e-text--spacing-auto nova-e-text--color-inherit"">This technical journal targets readers in the iron and steelmaking as well as steel shaping industries; plant and machine engineering companies and industrial furnace builders supplying to the iron and steel industry; raw material suppliers; steel users and steel/sheet processors. The editorial content of stahl und eisen is based on a technical-scientific approach. In addition to the technical articles it contains a section featuring economic and business topics tailored to the specific interests of its target group and a section providing comprehensive reader information on educational, professional and legal topics. The journal holds a provable top position in the market of international technical journals for this target group. It has attained this position through strict adherence to factuality and editorial excellence since its foundation in 1881. The articles are published in German or English, introduced by a bilingual (German and English) abstract. &quot;Chornyie Metally&quot; (&quot;Black Metals&quot;) is a Russian-language license edition of stahl und eisen published in the CIS.</P><H2 class=""nova-e-text nova-e-text--size-m nova-e-text--family-sans-serif nova-e-text--spacing-s nova-e-text--color-inherit""><B>RG Journal Impact: 0.05</B>*</H2><DIV class=""nova-e-text nova-e-text--size-s nova-e-text--family-sans-serif nova-e-text--spacing-m nova-e-text--color-inherit"">*This value is calculated using ResearchGate data and is based on average citation counts from work published in this journal. The data used in the calculation may not be exhaustive.</DIV><H2 class=""nova-e-text nova-e-text--size-m nova-e-text--family-sans-serif nova-e-text--spacing-none nova-e-text--color-inherit journal-full-info__impact-history-table-title"">RG Journal impact history</H2></DIV></DIV></DIV></DIV></DIV></DIV></DIV></DIV></BODY></HTML>"
